,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
5,395458,tt0491175,2017-10-26,25000000,5775178,Thriller,English,Suburbicon,GB,United Kingdom,English
6,257785,tt0491203,2017-07-13,25000000,3425664,Drama,English,Tulip Fever,GB,United Kingdom,English
94,432068,tt5699154,2017-10-04,17200000,23800000,Comedy,Français,Le Sens de la fête,FR,France,Français
229,76,tt0112471,1995-01-27,2500000,5535405,Drama,English,Before Sunrise,AT,Austria,English
231,18736,tt0306841,2003-05-02,17000000,55534455,Family,English,The Lizzie McGuire Movie,US,United States of America,English
284,11674,tt0115433,1996-11-17,54000000,320689294,Comedy,English,101 Dalmatians,GB,United Kingdom,English
297,47971,tt1293847,2017-01-13,85000000,346147658,Action,English,xXx: Return of Xander Cage,CA,Canada,English
325,301337,tt1389072,2017-12-22,68000000,55003890,Comedy,Norsk,Downsizing,US,United States of America,Norsk
326,353569,tt1412528,2017-03-03,5000000,5042014,Comedy,English,Table 19,US,United States of America,English
328,316029,tt1485796,2017-12-20,84000000,432844677,Drama,English,The Greatest Showman,US,United States of America,English
336,391714,tt1667321,2018-01-19,745971,3335913,Drama,English,On Chesil Beach,GB,United Kingdom,English
340,271404,tt1724970,2017-10-20,20000000,992181,Action,English,Beyond Skyline,US,United States of America,English
342,289222,tt1730768,2017-03-31,20000000,26152835,Drama,English,The Zookeeper's Wife,CZ,Czech Republic,English
346,166426,tt1790809,2017-05-23,230000000,794861794,Adventure,English,Pirates of the Caribbean: Dead Men Tell No Tales,US,United States of America,English
363,415842,tt1961175,2017-09-14,33000000,66167951,Action,العربية,American Assassin,HK,Hong Kong,العربية
364,274857,tt1972591,2017-05-10,175000000,148675066,Action,English,King Arthur: Legend of the Sword,US,United States of America,English
365,274855,tt1981128,2017-10-13,120000000,221600160,Action,English,Geostorm,US,United States of America,English
370,268531,tt2091256,2017-06-01,38000000,125289450,Action,English,Captain Underpants: The First Epic Movie,US,United States of America,English
387,290512,tt2226597,2017-10-05,35000000,62832209,Romance,English,The Mountain Between Us,US,United States of America,English
389,339964,tt2239822,2017-07-20,177200000,225874228,Adventure,Français,Valerian and the City of a Thousand Planets,BE,Belgium,Français
394,353486,tt2283362,2017-12-09,90000000,962102237,Action,English,Jumanji: Welcome to the Jungle,US,United States of America,English
398,157827,tt2217859,2015-05-18,11000000,161789,Drama,English,Louder Than Bombs,DK,Denmark,English
414,137116,tt2398241,2017-03-23,60000000,197183546,Adventure,English,Smurfs: The Lost Village,US,United States of America,English
425,181808,tt2527336,2017-12-13,200000000,1332539889,Science Fiction,English,Star Wars: The Last Jedi,US,United States of America,English
441,180863,tt2763304,2017-01-27,18000000,42067430,Crime,български език,T2 Trainspotting,GB,United Kingdom,български език
479,274862,tt3014284,2017-09-21,70000000,123081555,Action,English,The Lego Ninjago Movie,DK,Denmark,English
538,339259,tt3296908,2017-05-25,32679734,4412639,War,Deutsch,The Man with the Iron Heart,BE,Belgium,Deutsch
553,335988,tt3371366,2017-06-16,217000000,605425157,Action,English,Transformers: The Last Knight,CA,Canada,English
573,281338,tt3450958,2017-07-11,150000000,488533726,Drama,English,War for the Planet of the Apes,CA,Canada,English
576,413138,tt3458760,2018-01-16,1,24,Action,Español,The Lucky Man,US,United States of America,Español
584,335777,tt3486626,2017-08-11,40000000,65146020,Family,English,The Nut Job 2: Nutty by Nature,US,United States of America,English
587,284053,tt3501632,2017-10-25,180000000,853977126,Action,English,Thor: Ragnarok,US,United States of America,English
590,371638,tt3521126,2017-03-12,10000000,29820616,Comedy,English,The Disaster Artist,US,United States of America,English
655,293167,tt3731562,2017-03-08,185000000,566652812,Action,English,Kong: Skull Island,US,United States of America,English
714,397852,tt3881026,2017-09-22,1686858,1891907,Fantasy,suomi,Rendel,FI,Finland,suomi
728,452773,tt3896102,2017-03-25,10778400,34156960,Animation,Español,Tadeo Jones 2: El secreto del rey Midas,ES,Spain,Español
731,421480,tt3902120,2017-12-15,1000,40,Comedy,English,The 312,US,United States of America,English
767,292280,tt4030600,2017-01-12,7400000,26667197,Horror,English,The Bye Bye Man,US,United States of America,English
794,335788,tt4106376,2017-08-21,66190000,2602149,Thriller,Deutsch,Renegades,DE,Germany,Deutsch
833,396371,tt4209788,2017-01-01,30000000,59284015,Crime,English,Molly's Game,CA,Canada,English
896,438457,tt4400994,2017-12-15,8000000,7856,Western,English,The Ballad of Lefty Brown,US,United States of America,English
922,341174,tt4465564,2017-02-08,55000000,378827494,Drama,English,Fifty Shades Darker,US,United States of America,English
932,450314,tt4494382,2017-10-12,8000000,8431194,Adventure,Italiano,Condorito: la película,PE,Peru,Italiano
950,426030,tt4538916,2017-12-26,7154497,15500000,Comedy,English,Finding Your Feet,GB,United Kingdom,English
968,382614,tt4572792,2017-06-16,10000000,4596705,Drama,English,The Book of Henry,US,United States of America,English
979,354556,tt4600952,2017-02-14,5400000,4803565,Action,Pусский,Защитники,RU,Russia,Pусский
993,337339,tt4630562,2017-04-12,250000000,1238764765,Action,English,The Fate of the Furious,US,United States of America,English
1003,343668,tt4649466,2017-09-20,104000000,410902662,Action,svenska,Kingsman: The Golden Circle,GB,United Kingdom,svenska
1026,425336,tt4682788,2017-10-12,4667008,17535962,Crime,English,Loving Pablo,BG,Bulgaria,English
1035,434273,tt4693612,2017-04-12,5000000,3358085,Romance,Français,Un profil pour deux,BE,Belgium,Français
1144,441894,tt4906960,2017-09-01,12300000,27000000,Action,हिन्दी,बादशाहो,IN,India,हिन्दी
1159,391713,tt4925292,2017-09-08,10000000,76858273,Drama,English,Lady Bird,US,United States of America,English
1167,433356,tt4943322,2017-03-10,40000000,413844,Romance,English,The Ottoman Lieutenant,TR,Turkey,English
1286,496681,tt5125414,2017-12-22,3082000,7082000,Adventure,বাংলা,আমাজন অভিযান,IN,India,বাংলা
1330,426338,tt5176252,2017-09-29,3144622,2963886,Comedy,Español,La llamada,ES,Spain,Español
1396,432301,tt5270948,2018-04-06,34000000,17904202,Drama,English,Chappaquiddick,SE,Sweden,English
1398,435800,tt5273624,2017-01-28,63300000,731607,Adventure,普通话,西游·伏妖篇,CN,China,普通话
1409,446791,tt5294550,2017-12-21,50000000,56996304,Thriller,English,All the Money in the World,US,United States of America,English
1442,407890,tt5340300,2018-04-06,8000000,2455027,Drama,English,Lean on Pete,GB,United Kingdom,English
1500,399170,tt5439796,2017-08-17,29000000,48453605,Action,English,Logan Lucky,US,United States of America,English
1518,416477,tt5462602,2017-03-30,5000000,56303596,Comedy,English,The Big Sick,US,United States of America,English
1528,455470,tt5472374,2017-05-11,3014770,2437852,Drama,हिन्दी,मेरी प्यारी बिंदु,IN,India,हिन्दी
1531,413884,tt5474042,2017-05-18,7445000,12805400,Drama,Deutsch,Half Girlfriend,IN,India,Deutsch
1582,428495,tt5540188,2017-07-12,4250000,81089,Thriller,العربية,The Nile Hilton Incident,DK,Denmark,العربية
1603,412096,tt5559528,2017-03-10,779000,1550000,Thriller,தமிழ்,மாநகரம்,IN,India,தமிழ்
1621,399055,tt5580390,2017-12-01,19500000,194989655,Drama,English,The Shape of Water,US,United States of America,English
1634,2757,tt0268126,2002-12-06,19000000,32801173,Comedy,English,Adaptation.,US,United States of America,English
1750,416186,tt5687334,2017-06-24,12840746,82264,Drama,Français,Le Redoutable,MM,Myanmar,Français
1782,398174,tt5711148,2017-11-17,10000000,3179847,Romance,English,Film Stars Don't Die in Liverpool,GB,United Kingdom,English
