,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
0,tt0069049,The Other Side of the Wind,2018,78,6.8,"5,960",The Other Side of the Wind
2,tt0077649,Isolation of 1/8800000,2018,N/A,6.9,17,Isolation of 1/8800000
4,tt0111414,A Thin Life,2018,N/A,N/A,N/A,A Thin Life
8,tt0137818,Housesitter: The Night They Saved Siegfried's Brain,2018,N/A,N/A,N/A,Housesitter: The Night They Saved Siegfried's Brain
9,tt0170651,T.G.M. - osvoboditel,2018,N/A,7.4,7,T.G.M. - osvoboditel
11,tt0192528,Heaven & Hell,2018,N/A,3.9,82,Heaven & Hell
13,tt0276568,To Chase a Million,2018,N/A,6.5,6,To Chase a Million
21,tt0328810,My Land,2018,N/A,7.9,63,My Land
26,tt0360556,Fahrenheit 451,2018,N/A,4.9,"16,933",Fahrenheit 451
28,tt0365545,Nappily Ever After,2018,63,6.4,"7,670",Nappily Ever After
34,tt0427543,A Million Little Pieces,2018,45,6.2,"1,582",A Million Little Pieces
35,tt0432010,The Queen of Sheba Meets the Atom Man,2018,N/A,7.3,39,The Queen of Sheba Meets the Atom Man
64,tt0825334,Caravaggio and My Mother the Pope,2018,N/A,N/A,N/A,Caravaggio and My Mother the Pope
72,tt0850247,Amsteroid,2018,N/A,5.1,13,Magic Mentah
75,tt0859635,Super Troopers 2,2018,41,6.0,"23,421",Super Troopers 2
76,tt0862930,Dukun,2018,N/A,6.8,353,Dukun
80,tt0891581,RxCannabis: A Freedom Tale,2018,N/A,N/A,N/A,RxCannabis: A Freedom Tale
86,tt0972544,Back Roads,2018,42,6.6,"3,220",Back Roads
94,tt10003350,Lusitanian Ghosts,2018,N/A,N/A,N/A,Lusitanian Ghosts
103,tt10004396,When I Became a Butterfly,2018,N/A,N/A,N/A,When I Became a Butterfly
108,tt10005184,Down the River,2018,N/A,7.9,18,Lysis
117,tt10006274,Feeling of revulsion,2018,N/A,8.3,7,Feeling of revulsion
119,tt10006874,Weltweite Freundschaften,2018,N/A,N/A,N/A,Weltweite Freundschaften
133,tt10009602,Meu Nome é Daniel,2018,N/A,N/A,N/A,Meu Nome é Daniel
135,tt10009960,The Stateless Diplomat,2018,N/A,N/A,N/A,The Stateless Diplomat
139,tt10010814,Turtle,2018,N/A,N/A,N/A,Turtle
177,tt10013634,Cinderella,2018,N/A,N/A,N/A,Cinderella
178,tt10014042,Forced Marriage,2018,N/A,N/A,N/A,Forced Marriage
195,tt10016254,Skvoznyye Shagi,2018,N/A,N/A,N/A,Skvoznyye Shagi
197,tt10016428,Vargit zamani,2018,N/A,N/A,N/A,Vargit zamani
206,tt10017502,Lost Einstein,2018,N/A,N/A,N/A,Lost Einstein
207,tt10017510,One Family,2018,N/A,N/A,N/A,One Family
211,tt10017722,Emiliano Queiroz: o Ator em sua Essência,2018,N/A,N/A,N/A,Emiliano Queiroz: o Ator em sua Essência
213,tt10018116,Stage 3,2018,N/A,N/A,N/A,Stage 3
220,tt10021622,16 Bars,2018,N/A,N/A,N/A,16 Bars
223,tt10021804,Don't Work (1968 - 2018),2018,N/A,N/A,N/A,Ne travaille pas (1968 - 2018)
225,tt10022158,Worlds of Ursula K. Le Guin,2018,N/A,7.7,97,Worlds of Ursula K. Le Guin
227,tt10022684,Anuttara,2018,N/A,N/A,N/A,Anuttara
228,tt10022800,A Song In The Storm,2018,N/A,N/A,N/A,A Song In The Storm
229,tt10022824,A Song in the Storm,2018,N/A,N/A,N/A,A Song in the Storm
256,tt10026686,Piedone nyomában,2018,N/A,7.8,36,Piedone nyomában
257,tt10026722,1200+ Dir,2018,N/A,N/A,N/A,1200+ Dir
259,tt10027174,Saboa,2018,N/A,N/A,N/A,Saboa
260,tt10027474,Night of the Dead Geisha,2018,N/A,N/A,N/A,Night of the Dead Geisha
266,tt10028708,Stay,2018,N/A,N/A,N/A,Stay
267,tt10028766,Nationalmuseum - ljuset återvänder,2018,N/A,N/A,N/A,Nationalmuseum - ljuset återvänder
268,tt10028772,Latinos en el corredor de la muerte,2018,N/A,N/A,N/A,Latinos en el corredor de la muerte
269,tt10028818,El mercado de la inocencia,2018,N/A,N/A,N/A,El mercado de la inocencia
280,tt10034236,Super Sketch,2018,N/A,8.3,15,Super Sketch
281,tt10034256,The Place of the Three Waterfalls. Little Stories of Hiroshima,2018,N/A,N/A,N/A,The Place of the Three Waterfalls. Little Stories of Hiroshima
283,tt10034400,New Breed,2018,N/A,N/A,N/A,New Breed
286,tt10035120,A Short History of a Few Bad Things,2018,N/A,N/A,N/A,A Short History of a Few Bad Things
290,tt10036714,Alone - The Legend of Miriam Yalan-Shtekelis,2018,N/A,N/A,N/A,Alone - The Legend of Miriam Yalan-Shtekelis
295,tt10037382,El Hombre de la Montaña,2018,N/A,N/A,N/A,El Hombre de la Montaña
303,tt10037872,Matoma: One in a Million,2018,N/A,N/A,N/A,Matoma: One in a Million
305,tt10038006,Expressionism,2018,N/A,N/A,N/A,Expressionism
320,tt10039472,Premak Basaat,2018,N/A,N/A,N/A,Premak Basaat
322,tt10039682,Paranaue: The Documentary,2018,N/A,N/A,N/A,Paranaue: The Documentary
324,tt10040484,A Idade da Água,2018,N/A,N/A,N/A,A Idade da Água
335,tt10043732,Oblepikhovoe leto,2018,N/A,7.1,9,Oblepikhovoe leto
338,tt10043990,Lo peor de los deseos,2018,N/A,N/A,N/A,Lo peor de los deseos
343,tt10045014,Rangu,2018,N/A,4.0,8,Rangu
348,tt10045422,Zwitscherland,2018,N/A,N/A,N/A,Zwitscherland
350,tt10045444,Durs Appenzellerland,2018,N/A,N/A,N/A,Durs Appenzellerland
359,tt10047356,Eises Kälte - Frozen in Time,2018,N/A,N/A,N/A,Eises Kälte - Frozen in Time
363,tt10048332,Gente de Zona: En Letra De Otro,2018,N/A,N/A,N/A,Gente de Zona: En Letra De Otro
369,tt10049152,Pur laine,2018,N/A,N/A,N/A,Pur laine
371,tt10049238,Joan Miró: The Inner Fire,2018,N/A,N/A,N/A,"Joan Miró, the inner fire"
378,tt10050404,Tian Shang De Hai Zi,2018,N/A,N/A,N/A,Tian Shang De Hai Zi
379,tt10050592,The Age of Sebastian,2018,N/A,N/A,N/A,The Age of Sebastian
384,tt10050722,Thing I Don't Get,2018,N/A,N/A,N/A,Thing I Don't Get
389,tt10051124,Crossing the river of life,2018,N/A,N/A,N/A,Crossing the river of life
395,tt10052452,Jeremiah's Woods,2018,N/A,N/A,N/A,Jeremiah's Woods
399,tt10054198,Vogel Lost Vogel,2018,N/A,N/A,N/A,Vogel Lost Vogel
400,tt10054330,I Miss Oromia,2018,N/A,N/A,N/A,I Miss Oromia
407,tt10055028,Dolphin Reef,2018,79,7.5,778,Dolphin Reef
413,tt10056028,Fatei and the sea,2018,N/A,N/A,N/A,Fatei and the sea
414,tt10056070,Das Bürgermeistermädchen,2018,N/A,N/A,N/A,Das Bürgermeistermädchen
418,tt10056330,Rotenberg,2018,N/A,N/A,N/A,Rotenberg
