,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
3,306819,tt0810819,2015-01-01,15000000,64191523,Drama,Français,The Danish Girl,DE,Germany,Français
4,252838,tt0884732,2015-01-16,23000000,79799880,Comedy,English,The Wedding Ringer,US,United States of America,English
7,315635,tt2250912,2017-07-05,175000000,880166924,Action,English,Spider-Man: Homecoming,US,United States of America,English
16,181283,tt1014763,2015-03-15,50000000,3324330,Crime,English,Child 44,GB,United Kingdom,English
51,319888,tt1083452,2016-02-26,23000000,46152411,Comedy,Deutsch,Eddie the Eagle,DE,Germany,Deutsch
78,336029,tt1135989,2015-09-03,4000000,572212,Drama,עִבְרִית,A Tale of Love and Darkness,US,United States of America,עִבְרִית
88,631638,tt10963910,2019-08-22,20,1500, , , , , , 
176,17501,tt0461936,2006-10-20,5000000,15000000,Action,हिन्दी,डॉन,IN,India,हिन्दी
180,87101,tt1340138,2015-06-23,155000000,440603537,Science Fiction,English,Terminator Genisys,US,United States of America,English
184,76341,tt1392190,2015-05-13,150000000,378858340,Action,English,Mad Max: Fury Road,AU,Australia,English
185,277216,tt1398426,2015-08-13,28000000,201634991,Drama,English,Straight Outta Compton,US,United States of America,English
191,157544,tt1524575,2015-07-24,13000000,1784763,Thriller,English,The Vatican Tapes,US,United States of America,English
195,318846,tt1596363,2015-12-11,28000000,133346506,Comedy,English,The Big Short,US,United States of America,English
199,274854,tt1618442,2015-10-21,90000000,146936910,Fantasy,English,The Last Witch Hunter,US,United States of America,English
201,293863,tt1655441,2015-04-16,25000000,65663276,Fantasy,English,The Age of Adaline,US,United States of America,English
218,273477,tt1727776,2015-10-23,15000000,14860766,Comedy,English,Scouts Guide to the Zombie Apocalypse,US,United States of America,English
230,256924,tt1772288,2015-03-19,10000000,10835752,Comedy,English,Danny Collins,US,United States of America,English
234,198184,tt1823672,2015-03-04,49000000,104399548,Crime,English,Chappie,US,United States of America,English
273,262973,tt2002868,2015-02-13,5200000,8200000,Comedy,தமிழ்,அநேகன்,IN,India,தமிழ்
311,174751,tt2140037,2015-12-31,25000000,1397284,Action,English,Jane Got a Gun,US,United States of America,English
333,241554,tt2199571,2015-03-11,50000000,71561644,Action,English,Run All Night,US,United States of America,English
352,264999,tt2268016,2015-07-01,14800000,117813057,Comedy,English,Magic Mike XXL,US,United States of America,English
356,333348,tt2279339,2015-11-12,17000000,42426912,Comedy,English,Love the Coopers,US,United States of America,English
357,228165,tt2279373,2015-01-28,74000000,311594032,Adventure,English,The SpongeBob Movie: Sponge Out of Water,US,United States of America,English
374,245846,tt2325977,2015-07-01,10000000,111107,Drama,English,Strangerland,AU,Australia,English
395,177677,tt2381249,2015-07-23,150000000,682330139,Action,Deutsch,Mission: Impossible - Rogue Nation,US,United States of America,Deutsch
401,99861,tt2395427,2015-04-22,250000000,1405403694,Action,English,Avengers: Age of Ultron,US,United States of America,English
403,291270,tt2401878,2015-12-30,8000000,5659286,Animation,English,Anomalisa,US,United States of America,English
407,304357,tt2404425,2015-03-20,11000000,61619773,Drama,English,Woman in Gold,GB,United Kingdom,English
414,337876,tt2424988,2015-05-01,11000000,41000000,Drama,हिन्दी,Gabbar Is Back,IN,India,हिन्दी
419,227719,tt2436386,2015-01-28,12000000,32248241,Science Fiction,English,Project Almanac,US,United States of America,English
425,227973,tt2452042,2015-11-01,99000000,246233113,Adventure,English,The Peanuts Movie,US,United States of America,English
434,146301,tt2473510,2015-10-21,10000000,78096553,Horror,English,Paranormal Activity: The Ghost Dimension,US,United States of America,English
441,140607,tt2488496,2015-12-15,245000000,2068223624,Action,English,Star Wars: The Force Awakens,US,United States of America,English
466,268238,tt2555736,2015-02-26,10000000,85978266,Drama,English,The Second Best Exotic Marigold Hotel,GB,United Kingdom,English
468,381214,tt2558022,2016-02-18,10000,525000,Action,Deutsch,Bunker of the Dead,DE,Germany,Deutsch
495,256040,tt2631186,2015-07-10,25130430,90747520,Action,,బాహుబలి:ద బిగినింగ్,IN,India,
521,249070,tt2679042,2015-08-20,35000000,81967450,Action,English,Hitman: Agent 47,ID,Indonesia,English
543,228205,tt2726560,2015-04-09,34000000,63013281,Drama,English,The Longest Ride,US,United States of America,English
589,595,tt0056592,1962-12-25,2000000,13129846,Drama,English,To Kill a Mockingbird,US,United States of America,English
610,262500,tt2908446,2015-03-18,110000000,295238201,Action,English,Insurgent,US,United States of America,English
627,287948,tt2938956,2015-09-03,25000000,72629670,Thriller,English,The Transporter Refueled,BE,Belgium,English
649,316654,tt2979920,2015-05-15,18000000,1500000,Crime,हिन्दी,बॉम्बे वेलवेट,IN,India,हिन्दी
650,339145,tt2980554,2015-06-13,8245,81379,Drama,English,The Girl in the Book,US,United States of America,English
678,210860,tt3045616,2015-01-21,60000000,30418560,Comedy,English,Mortdecai,US,United States of America,English
699,325348,tt3072482,2015-09-12,10000000,14333790,Action,English,Hardcore Henry,RU,Russia,English
785,253414,tt3164256,2015-10-22,15000000,3020664,Comedy,English,Rock the Kasbah,US,United States of America,English
789,280996,tt3168230,2015-06-19,11000000,29355203,Drama,Français,Mr. Holmes,GB,United Kingdom,Français
801,250124,tt3172532,2015-08-07,2000000,1477002,Drama,English,The Diary of a Teenage Girl,US,United States of America,English
842,69767,tt1123372,2006-12-07,492,1, ,Bahasa melayu,Cicakman, , , 
929,261392,tt3316948,2015-08-19,28000000,27139524,Comedy,English,American Ultra,CH,Switzerland,English
1019,326215,tt3411432,2015-04-09,6000000,769028,Animation,English,Ooops! Noah is Gone...,BE,Belgium,English
1034,352099,tt3422462,2015-08-07,3600000,830000,Comedy,हिन्दी,बैंगिस्‍तान,IN,India,हिन्दी
1047,320295,tt3447364,2015-04-02,5100000,5200000,Action,English,डिटेक्टिव ब्योमकेश बक्शी!,IN,India,English
1061,273248,tt3460252,2015-12-25,44000000,155760117,Crime,Español,The Hateful Eight,US,United States of America,Español
1118,656944,tt3513068,2015-10-07,610000,1045, ,български език,Имало едно време един уестърн, , , 
