,ID
0,283587
1,347969
2,263341
3,347689
4,355008
5,389053
6,318121
7,373453
8,369033
9,353571
10,352492
11,410199
12,334517
13,368993
14,407559
15,423093
16,339396
17,180305
18,324670
19,429238
20,433244
21,433245
22,414190
23,253154
24,346650
25,425591
26,426265
27,428687
28,401743
29,376134
30,397442
31,419700
32,390054
33,412209
34,411405
35,402582
36,409421
37,354287
38,457962
39,387426
40,401104
41,432789
42,21450
43,346671
44,433247
45,343674
46,433252
47,457917
48,419479
49,452507
50,471014
51,10835
52,483104
53,485504
54,449755
55,400106
56,419472
57,431072
58,485774
59,251312
60,391710
61,384521
62,433310
63,505175
64,450489
65,401371
66,23069
67,456750
68,452558
69,426257
70,451563
71,502122
72,500634
73,30157
74,430446
75,515841
76,399131
77,507143
78,465109
79,411852
80,519253
81,454983
82,425972
83,463053
84,511785
85,384677
86,530154
87,531736
88,474051
89,411143
90,311307
91,475210
92,531949
93,429415
94,518452
95,503619
96,466282
97,538604
98,462919
99,478100
100,523777
101,452731
102,468362
103,519035
104,395841
105,458342
106,424121
107,449992
108,462469
109,555850
110,299782
111,454227
112,556803
113,521935
114,537996
115,527435
116,525041
117,494950
118,407436
119,426426
120,405774
121,9399
122,5991
123,433249
124,539036
125,483906
126,463684
127,510498
128,582868
129,504321
130,525183
131,581420
132,581475
133,399361
134,327331
135,500682
136,423949
137,586333
138,543540
139,515248
140,596178
141,588001
142,502292
143,513083
144,602609
145,582607
146,531306
147,529962
148,513576
149,601801
150,514999
151,603519
152,26039
153,612152
154,465003
155,531509
156,582570
157,623195
158,15596
159,625450
160,584962
161,530382
162,523139
163,559969
164,568091
165,631997
166,614488
167,483202
168,623627
169,517909
170,639411
171,528888
172,560362
173,504949
174,622963
175,64690
176,636698
177,531438
178,295151
179,513409
180,18862
181,508965
182,611207
183,398978
184,639609
185,625248
186,587693
187,492188
188,509967
189,551332
190,654299
191,653522
192,169864
193,401246
194,250769
195,250700
196,286407
197,253266
198,250653
199,263614
200,285595
201,261039
202,318256
203,318044
204,318225
205,360341
206,355020
207,381071
208,390520
209,376426
210,3515
211,393443
212,416211
213,376228
214,411009
215,407806
216,376389
217,360029
218,411023
219,430826
220,433878
221,448448
222,450628
223,433084
224,462104
225,430830
226,432615
227,432976
228,473545
229,475345
230,428612
231,472424
232,459992
233,448444
234,473313
235,474569
236,473408
237,469019
238,483010
239,474433
240,473415
241,490818
242,489354
243,492184
244,502166
245,491104
246,511791
247,510073
248,9727
249,522393
250,511815
251,507389
252,47821
253,545634
254,504561
255,549599
256,507618
257,553539
258,489994
259,538002
260,553649
261,520370
262,561230
263,565255
264,553651
265,553646
266,524288
267,589116
268,553644
269,589023
270,593691
271,596204
272,589871
273,553645
274,565312
275,595399
276,601516
277,602760
278,600700
279,606215
280,574638
281,593280
282,566221
283,587910
284,566222
285,616904
286,565716
287,625561
288,627133
289,21868
290,628039
291,630750
292,632602
293,586245
294,627070
295,634541
296,636709
297,617331
298,587385
299,634754
300,621753
301,650614
302,650029
303,538620
304,364067
305,408619
306,437443
307,430780
308,454854
309,485157
310,554175
311,561556
312,563708
313,568332
314,580001
315,602310
316,610120
317,612701
318,439059
319,472983
320,628756
321,683021
322,651724
323,367735
324,19150
325,309809
326,457258
327,376659
328,301804
329,587
330,340027
331,339792
332,393729
333,338766
334,395763
335,396920
336,140300
337,411038
338,393731
339,301355
340,369883
341,381518
342,429450
343,371463
344,37532
345,404791
346,264402
347,316154
348,325373
349,347984
350,431530
351,448776
352,563710
353,13913
354,397837
355,426284
356,460059
357,430354
358,461957
359,477033
360,488623
361,449574
362,429200
363,427900
364,293768
365,419635
366,436994
367,475517
368,414425
369,432226
370,436343
371,437311
372,10212
373,432870
374,7364
375,435841
376,480007
377,339988
378,421447
379,379149
380,390043
381,437036
382,433808
383,437380
384,365942
385,406990
386,412105
387,537526
388,514575
389,355279
390,489982
391,300668
392,396806
393,491472
394,81527
395,498249
396,513574
397,495659
398,399248
399,420426
400,467673
401,541340
402,484901
403,563943
404,522144
405,524087
406,493655
407,510338
408,375107
409,472734
410,210577
411,449684
412,466876
413,492719
414,536115
415,409582
416,529210
417,481432
418,11424
419,527246
420,548537
421,517298
422,274479
423,524736
424,515911
425,481375
426,524738
427,529216
428,544530
429,530442
430,487476
431,493551
432,529790
433,546230
434,513223
435,517829
436,538528
437,557968
438,21309
439,6620
440,449019
441,503616
442,518671
443,29621
444,442811
445,551300
446,486225
447,502143
448,555605
449,497370
450,451480
451,489927
452,437029
453,528949
454,557336
455,497916
456,476926
457,502350
458,271397
459,508018
460,504603
461,387827
462,508747
463,533992
464,12227
465,77118
466,517324
467,458005
468,584427
469,570735
470,422803
471,622951
472,537915
473,613183
474,416153
475,496967
476,575771
477,591789
478,505600
479,327
480,460321
481,553608
482,592867
483,457799
484,17182
485,567973
486,622654
487,638605
488,602797
489,505948
490,586940
491,512019
492,449563
493,574303
494,600335
495,611468
496,532620
497,613090
498,591121
499,577990
500,582186
501,571650
502,571891
503,532880
504,587301
505,16320
506,479
507,559957
508,556509
509,567410
510,573106
511,491480
512,585759
513,542928
514,200773
515,613099
516,574374
517,619264
518,571495
519,527261
520,632931
521,129070
522,35172
523,535167
524,656926
525,570503
526,542917
527,473033
528,451184
529,505423
