,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
0,540873,tt0283440,2015-10-21,0,0,Science Fiction,Deutsch,Kurzzeithelden,DE,Germany,Deutsch
1,368103,tt6449458,2015-11-19,0,0,Drama,Português,"Chatô, O Rei do Brasil",BR,Brazil,Português
2,353326,tt0787524,2016-04-08,0,11472454,Drama,,The Man Who Knew Infinity,GB,United Kingdom,
3,306819,tt0810819,2015-01-01,15000000,64191523,Drama,Français,The Danish Girl,DE,Germany,Français
4,252838,tt0884732,2015-01-16,23000000,79799880,Comedy,English,The Wedding Ringer,US,United States of America,English
5,392597,,1959-01-01,0,0,Documentary,Español,Doña Julia,PR,Puerto Rico,Español
6,404972,,2016-07-04,0,0, , , , , , 
7,315635,tt2250912,2017-07-05,175000000,880166924,Action,English,Spider-Man: Homecoming,US,United States of America,English
8,336088,,2014-12-14,0,0,Comedy,Italiano,Gli sbancati,IT,Italy,Italiano
9,602875,tt10092508,2015-05-07,0,0, , , , , , 
10,386874,,2015-12-31,0,0,Drama,한국어/조선말,Bad Class,KR,South Korea,한국어/조선말
11,600482,tt10098412,2015-04-11,0,0,Documentary,svenska,Män som Dansar,SE,Sweden,svenska
12,366791,,2015-06-04,0,0,Action,Bahasa melayu,Darah Panas,MY,Malaysia,Bahasa melayu
13,321304,,2015-01-23,0,0, , , , , , 
14,676953,tt10126858,,0,0, , , , , , 
15,321883,,2015-01-27,0,0,Documentary,English,Minecraft: Into the Nether,US,United States of America,English
16,181283,tt1014763,2015-03-15,50000000,3324330,Crime,English,Child 44,GB,United Kingdom,English
17,512164,tt0251011,1950-08-24,0,0,Romance,,ചന്ദ്രിക,IN,India,
18,476726,tt10163058,2015-01-01,0,0,Romance,Português,Todos os Dias da Nossa Vida,PT,Portugal,Português
19,642084,,2019-10-15,0,0, ,Pусский,Russlands Millenniumskinder,DE,Germany,Pусский
20,426923,,,0,0, ,Magyar,A hunok titkos története, , , 
21,380491,,2015-01-08,0,0, , , , , , 
22,360283,tt1018728,2015-10-15,0,0,Music,English,Heart Like a Hand Grenade,US,United States of America,English
23,694106,tt10196012,2015-02-13,0,0, ,हिन्दी,Jee Chahta hai, , , 
24,641937,tt10210636,2015-03-10,0,0, , , , , , 
25,676950,tt10288256,2015-01-01,0,0, ,Español,Con mis propias manos, , , 
26,383429,,2015-03-05,0,0, ,普通话,全能囧爸, , , 
27,601060,tt10300622,2015-01-01,0,0, , , , , , 
28,385870,,2015-10-20,0,0, , , , , , 
29,438311,tt10363850,2015-02-18,0,0,Horror,Bahasa indonesia,Takut,ID,Indonesia,Bahasa indonesia
30,752562,tt10411334,,0,0, , , , , , 
31,483910,,2015-10-28,0,0, , , , , , 
32,564016,,2015-03-02,0,0,Drama,Español,Bailando con Margot,CU,Cuba,Español
33,111084,tt2321373,2012-03-22,0,0,Romance,广州话 / 廣州話,嫁個100分男人,CN,China,广州话 / 廣州話
34,726014,tt4358212,1982-01-01,0,0, , , , , , 
35,709208,tt10473674,,0,0, , , , , , 
36,371759,tt4701546,2015-12-25,0,0,Drama,English,Doctor Who: The Husbands of River Song,GB,United Kingdom,English
37,290656,tt2350852,2014-08-18,0,0,Horror,English,Raised by Wolves,US,United States of America,English
38,97517,tt0069507,1972-01-01,0,0, ,No Language,The Wold Shadow,US,United States of America,No Language
39,663738,tt10505592,2015-01-01,0,0, , , , , , 
40,663738,tt10505592,2015-01-01,0,0, , , , , , 
41,318651,,1958-03-31,0,0, ,普通话,红孩子, , , 
42,569993,,2016-01-01,0,0, , , , , , 
43,83154,tt1772989,2010-12-16,0,0, , , , , , 
44,647600,tt12952852,2019-11-02,0,0,Drama,日本語,タイトル、拒絶,JP,Japan,日本語
45,553148,,2015-06-30,0,0,Documentary,English,Au cœur des robots,FR,France,English
46,462865,,2017-06-27,0,0, ,Nederlands,Grand Prix Zandvoort, , , 
47,549249,tt10722542,2015-07-25,0,0, ,हिन्दी,Saari Raat,IN,India,हिन्दी
48,567393,,2014-01-01,0,0, , , , , , 
49,321514,,2015-01-27,0,0, , , , , , 
50,344369,tt0012484,1921-10-01,0,0,Drama,No Language,Арсен Джорджиашвили (Убийство Генерала Грязнова),GE,Georgia,No Language
51,319888,tt1083452,2016-02-26,23000000,46152411,Comedy,Deutsch,Eddie the Eagle,DE,Germany,Deutsch
52,608955,,2018-02-14,0,0, ,Français,"Barrages, canaux, les maîtres de l'eau", , , 
53,630747,tt10893606,,0,0, , , , , , 
54,586136,,2017-05-26,0,0,Documentary,Deutsch,Vergessene Wracks,DE,Germany,Deutsch
55,498682,,2015-01-01,0,0, , , , , , 
56,472886,,2015-09-25,0,0, ,?????,A 2nd Hand Lover, , , 
57,678569,tt10926626,,0,0, , , , , , 
58,496599,,2015-10-22,0,32235,Animation,Pусский,Сохрани мою речь навсегда,RU,Russia,Pусский
59,348421,,2015-06-08,0,0, , , , , , 
60,360280,tt10957752,2015-12-10,0,0, ,Português,Memórias da Boca,BR,Brazil,Português
61,346382,,2015-06-19,0,0,Comedy,Dansk,Christian Fuhlendorff: For at gøre en kort historie lang,DK,Denmark,Dansk
62,639166,tt10969324,,1000,0, , , , , , 
63,678553,tt10970518,,0,0, , , , , , 
64,332332,tt0340105,2002-10-17,0,0,Drama,English,Falling Apart,GB,United Kingdom,English
65,703756,tt10978472,2015-05-02,0,0,Documentary,Português,Mães do Pina,BR,Brazil,Português
66,618500,tt4215848,2013-08-01,0,0, , , , , , 
67,527124,,2018-06-09,0,0, , , , , , 
68,426469,tt1105355,2017-02-03,0,0, ,English,Growing Up Smith, , , 
69,325778,,2014-12-16,0,0,Comedy,Français,Mike Ward Le Docu,CA,Canada,Français
70,460105,tt11102352,2015-12-25,0,0,Drama,日本語,リベンジポルノ LOVE IS DEAD,JP,Japan,日本語
71,86408,tt0097756,1989-05-05,0,4299023,Romance,Español,Listen to Me,US,United States of America,Español
72,326203,,2015-01-22,0,712704, ,Bahasa melayu,"Suamiku, Encik Perfect 10!", , , 
73,743957,tt1125931,2015-08-21,0,0,Comedy,English,Tamales and Gumbo,US,United States of America,English
74,475018,,2015-06-10,0,0, , , , , , 
75,363299,tt6974650,2015-10-16,0,0,TV Movie,Español,Mirar morir: El ejército en la noche de Iguala,US,United States of America,Español
76,103800,tt0111625,1994-08-05,0,0, ,हिन्दी,Vijaypath,IN,India,हिन्दी
77,348383,,2015-07-10,0,0, , , , , , 
78,336029,tt1135989,2015-09-03,4000000,572212,Drama,עִבְרִית,A Tale of Love and Darkness,US,United States of America,עִבְרִית
79,713221,tt11369288,2015-11-06,0,0, ,हिन्दी,Karlo Timepass Yaar, , , 
80,535978,,2016-06-20,0,0, ,Português,A Saga da Alma de um Poeta,BR,Brazil,Português
81,417585,,2015-09-03,0,0, ,한국어/조선말,미션: 톱스타를 훔쳐라,KR,South Korea,한국어/조선말
82,501528,,2016-03-31,0,0, ,日本語,結城家の眠り,JP,Japan,日本語
83,346771,tt4736116,2014-01-01,0,0, ,English,Feminists Insha'allah! The Story of Arab Feminism,FR,France,English
84,436201,tt11536640,2017-01-20,0,0, , , , , , 
85,387862,,2015-08-20,0,0,Horror,Bahasa indonesia,Palasik,ID,Indonesia,Bahasa indonesia
86,453747,,2015-12-10,0,0,Horror,Bahasa indonesia,Penghuni Lain,ID,Indonesia,Bahasa indonesia
87,696070,,2020-08-13,0,10759,Horror,Pусский,Атакан. Кровавая легенда,RU,Russia,Pусский
88,631638,tt10963910,2019-08-22,20,1500, , , , , , 
89,558101,,,0,0, , , , , , 
90,674465,,,0,0, , , , , , 
91,457604,,2015-07-30,0,0,Drama,Bahasa indonesia,Catatan Akhir Kuliah,ID,Indonesia,Bahasa indonesia
