,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
164,18897,tt1075113,2009-06-03,13000000,2651917,Drama,Français,Ne te retourne pas,FR,France,Français
498,220882,tt1273221,2018-09-20,8000000,252676,Crime,English,London Fields,GB,United Kingdom,English
508,371608,tt1285009,2018-03-07,12500000,31039126,Horror,English,The Strangers: Prey at Night,US,United States of America,English
540,412988,tt1308728,2018-08-22,40000000,27506452,Action,English,The Happytime Murders,CN,China,English
550,752123, , , , , , , , , , 
558,429351,tt1413492,2018-01-16,35000000,67131266,Drama,English,12 Strong,US,United States of America,English
561,428078,tt1571234,2018-11-27,100000000,83672673,Adventure,English,Mortal Engines,NZ,New Zealand,English
584,463821,tt2119543,2018-09-15,42000000,131457147,Fantasy,English,The House with a Clock in Its Walls,CA,Canada,English
598,370567,tt2296777,2018-03-15,59000000,87625666,Animation,English,Sherlock Gnomes,GB,United Kingdom,English
617,268896,tt2557478,2018-03-21,150000000,290061297,Action,English,Pacific Rim: Uprising,CN,China,English
632,401981,tt2873282,2018-02-28,69000000,151572634,Mystery,English,Red Sparrow,US,United States of America,English
648,455207,tt3104988,2018-08-15,30000000,237994561,Comedy,广州话 / 廣州話,Crazy Rich Asians,US,United States of America,广州话 / 廣州話
665,351044,tt3289724,2018-12-21,39000000,12780692,Drama,English,Welcome to Marwen,US,United States of America,English
719,2044,tt0410297,2006-06-16,40000000,114830111,Romance,English,The Lake House,US,United States of America,English
740,348350,tt3778644,2018-05-15,250000000,392952373,Adventure,English,Solo: A Star Wars Story,US,United States of America,English
765,535845,tt3920820,2019-08-09,10,4,Drama,English,Brian Banks,US,United States of America,English
767,548786,tt3956336,2018-09-21,2000000,2231,Adventure,English,American Dresser,US,United States of America,English
787,445651,tt4073790,2018-07-25,34000000,41142379,Science Fiction,English,The Darkest Minds,US,United States of America,English
794,417261,tt4103724,2018-01-26,3500000,16367326,Romance,English,Forever My Girl,US,United States of America,English
795,338952,tt4123430,2018-11-14,200000000,653355901,Adventure,English,Fantastic Beasts: The Crimes of Grindelwald,GB,United Kingdom,English
872,336843,tt4500922,2018-01-10,62000000,288175335,Action,English,Maze Runner: The Death Cure,US,United States of America,English
883,438808,tt4537896,2018-09-14,29000000,26000000,Crime,English,White Boy Rick,US,United States of America,English
916,339380,tt4669788,2018-12-25,20000000,38673750,Drama,English,On the Basis of Sex,US,United States of America,English
920,387592,tt4701724,2018-01-26,50000000,53431158,Family,English,Early Man,FR,France,English
