Title,Genre,Original Network,Premiere,Seasons,Length,Netflix Exclusive Regions,Status
House of Cards,Political drama,Netflix,"February 1, 2013","6 seasons, 73 episodes",42–59 min.,Worldwide,Ended
Hemlock Grove,Horror,Netflix,"April 19, 2013","3 seasons, 33 episodes",45–58 min.,Worldwide,Ended
Orange Is the New Black,Comedy-drama,Netflix,"July 11, 2013","7 seasons, 91 episodes",50–92 min.,Worldwide,Ended
Marco Polo,Historical drama,Netflix,"December 12, 2014","2 seasons, 20 episodes",48–65 min.,Worldwide,Ended
Bloodline,Thriller,Netflix,"March 20, 2015","3 seasons, 33 episodes",48–68 min.,Worldwide,Ended
Daredevil,Superhero fiction,Netflix,"April 10, 2015","3 seasons, 39 episodes",46–61 min.,Worldwide,Ended
Sense8,Science fiction,Netflix,"June 5, 2015","2 seasons, 24 episodes",45–152 min.,Worldwide,Ended
Narcos,Crime drama,Netflix,"August 28, 2015","3 seasons, 30 episodes",43–60 min.,Worldwide,Ended
Jessica Jones,Superhero fiction,Netflix,"November 20, 2015","3 seasons, 39 episodes",44–56 min.,Worldwide,Ended
Stranger Things,Science fiction,Netflix,"July 15, 2016","3 seasons, 25 episodes",42–78 min.,Worldwide,Renewed
The Get Down,Musical,Netflix,"August 12, 2016","2 parts, 11 episodes",50–93 min.,Worldwide,Ended
Luke Cage,Superhero fiction,Netflix,"September 30, 2016","2 seasons, 26 episodes",46–69 min.,Worldwide,Ended
The Crown,Historical drama,Netflix,"November 4, 2016","3 seasons, 30 episodes",47–61 min.,Worldwide,Renewed for seasons 4 and 5 (final)
Gilmore Girls: A Year in the Life,Family drama,Netflix,"November 25, 2016",4 episodes,88–102 min.,Worldwide,"Miniseries
"
The OA,Mystery,Netflix,"December 16, 2016","2 parts, 16 episodes",31–71 min.,Worldwide,Ended
A Series of Unfortunate Events,Black comedy,Netflix,"January 13, 2017","3 seasons, 25 episodes",36–64 min.,Worldwide,Ended
Iron Fist,Superhero fiction,Netflix,"March 17, 2017","2 seasons, 23 episodes",49–61 min.,Worldwide,Ended
13 Reasons Why,Teen drama,Netflix,"March 31, 2017","4 seasons, 49 episodes",49–98 min.,Worldwide,Ended
Free Rein,Teen drama,Netflix,"June 22, 2017","3 seasons, 30 episodes",25–34 min.,Worldwide,"Pending
"
Gypsy,Psychological thriller,Netflix,"June 30, 2017","1 season, 10 episodes",46–58 min.,Worldwide,Ended
Ozark,Crime drama,Netflix,"July 21, 2017","3 seasons, 30 episodes",52–80 min.,Worldwide,"Pending
"
The Defenders,Superhero,Netflix,"August 18, 2017",8 episodes,44–57 min.,Worldwide,"Miniseries
"
Mindhunter,Crime drama,Netflix,"October 13, 2017","2 seasons, 19 episodes",34–73 min.,Worldwide,"Pending
"
Greenhouse Academy,Science fiction,Netflix,"September 8, 2017","4 seasons, 40 episodes",20–28 min.,Worldwide,"Pending
"
The Punisher,Superhero fiction,Netflix,"November 17, 2017","2 seasons, 26 episodes",47–58 min.,Worldwide,Ended
Godless,Western,Netflix,"November 22, 2017",7 episodes,41–80 min.,Worldwide,"Miniseries
"
Altered Carbon,Science fiction,Netflix,"February 2, 2018","2 seasons, 18 episodes",43–66 min.,Worldwide,"Pending
"
Seven Seconds,Crime drama,Netflix,"February 23, 2018","1 season, 10 episodes",54–80 min.,Worldwide,Ended
Lost in Space,Science fiction,Netflix,"April 13, 2018","2 seasons, 20 episodes",39–66 min.,Worldwide,Renewed for final season
The Ponysitters Club,Drama,Netflix,"August 10, 2018","2 seasons, 20 episodes",23 min.,Worldwide,"Ended
"
The Innocents,Supernatural fiction,Netflix,"August 24, 2018","1 season, 8 episodes",46–56 min.,Worldwide,"Ended
"
The Haunting,Horror,Netflix,"October 12, 2018","1 season, 10 episodes",43–71 min.,Worldwide,Renewed
Chilling Adventures of Sabrina,Supernatural,Netflix,"October 26, 2018","3 parts, 28 episodes",50–64 min.,Worldwide,Renewed
Narcos: Mexico,Crime drama,Netflix,"November 16, 2018","2 seasons, 20 episodes",45–70 min.,Worldwide,"Pending
"
Tidelands,Supernatural,Netflix,"December 14, 2018","1 season, 8 episodes",36–48 min.,Worldwide,"Ended
"
The Umbrella Academy,Superhero,Netflix,"February 15, 2019","1 season, 10 episodes",45–60 min.,Worldwide,"Season 2 due to premiere on July 31, 2020"
The Order,Supernatural,Netflix,"March 7, 2019","2 seasons, 20 episodes",42–51 min.,Worldwide,"Pending
"
Shadow,Thriller,Netflix,"March 8, 2019","1 season, 8 episodes",40–49 min.,Worldwide,"Ended
"
Black Summer,Zombie,Netflix,"April 11, 2019","1 season, 8 episodes",21–45 min.,Worldwide,Renewed
Chambers,Teen,Netflix,"April 26, 2019","1 season, 10 episodes",38–51 min.,Worldwide,Ended
The Society,Mystery,Netflix,"May 10, 2019","1 season, 10 episodes",49–61 min.,Worldwide,Renewed
What/If,Social thriller,Netflix,"May 24, 2019","1 season, 10 episodes",44–58 min.,Worldwide,"Ended
"
When They See Us,Drama,Netflix,"May 31, 2019",4 episodes,64–88 min.,Worldwide,"Miniseries
"
Trinkets,Coming-of-age,Netflix,"June 14, 2019","1 season, 10 episodes",22–29 min.,Worldwide,Renewed for final season
Another Life,Science fiction,Netflix,"July 25, 2019","1 season, 10 episodes",37–61 min.,Worldwide,Renewed
Wu Assassins,Supernatural,Netflix,"August 8, 2019","1 season, 10 episodes",40–51 min.,Worldwide,"Pending
"
The Dark Crystal: Age of Resistance,Fantasy,Netflix,"August 30, 2019","1 season, 10 episodes",47–61 min.,Worldwide,"Pending
"
The I-Land,Science fiction,Netflix,"September 12, 2019",7 episodes,37–43 min.,Worldwide,"Miniseries
"
Unbelievable,Drama,Netflix,"September 13, 2019",8 episodes,44–59 min.,Worldwide,"Miniseries
"
Criminal: UK,Police procedural,Netflix,"September 20, 2019","1 season, 3 episodes",43–44 min.,Worldwide,"Pending
"
Raising Dion,Superhero,Netflix,"October 4, 2019","1 season, 9 episodes",39–51 min.,Worldwide,Renewed
Dolly Parton's Heartstrings,Anthology series,Netflix,"November 22, 2019","1 season, 8 episodes",57–86 min.,Worldwide,"Pending
"
V Wars,Science fiction,Netflix,"December 5, 2019","1 season, 10 episodes",37–57 min.,Worldwide,Ended
Virgin River,Romantic drama,Netflix,"December 6, 2019","1 season, 10 episodes",42–49 min.,Worldwide,Renewed
Soundtrack,Musical,Netflix,"December 18, 2019","1 season, 10 episodes",52–61 min.,Worldwide,Ended
The Witcher,Fantasy,Netflix,"December 20, 2019","1 season, 8 episodes",47–67 min.,Worldwide,Renewed
Messiah,Thriller,Netflix,"January 1, 2020","1 season, 10 episodes",38–55 min.,Worldwide,Ended
Spinning Out,Drama,Netflix,"January 1, 2020","1 season, 10 episodes",44–56 min.,Worldwide,Ended
October Faction,Horror,Netflix,"January 23, 2020","1 season, 10 episodes",36–49 min.,Worldwide,Ended
The Stranger,Thriller,Netflix,"January 30, 2020","1 season, 8 episodes",42–52 min.,Worldwide,"Pending
"
Locke & Key,Horror,Netflix,"February 7, 2020","1 season, 10 episodes",40–56 min.,Worldwide,Renewed
Queen Sono,Crime drama,Netflix,"February 28, 2020","1 season, 6 episodes",32–47 min.,Worldwide,Renewed
Self Made: Inspired by the Life of Madam C. J. Walker,Biopic,Netflix,"March 20, 2020",4 episodes,45–49 min.,Worldwide,"Miniseries
"
The English Game,Historical drama,Netflix,"March 20, 2020", 6 episodes,43–55 min.,Worldwide,"Miniseries
"
The Letter for the King,Fantasy,Netflix,"March 20, 2020","1 season, 6 episodes",40–51 min.,Worldwide,"Pending
"
Unorthodox,Drama,Netflix,"March 26, 2020",4 episodes,52–55 min.,Worldwide,"Miniseries
"
