,Title,Genre,Premiere,Seasons,Metascore,imdbRating,imdbVotes,Title_from_OMDB,imdbID
497,Beasts of No Nation,War drama,"October 16, 2015",,79,7.7,"71,861",Beasts of No Nation,tt1365050
498,The Ridiculous 6,Western,"December 11, 2015",,18,4.8,"43,592",The Ridiculous 6,tt2479478
499,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Action,"February 26, 2016",,47,6.1,"17,403","Crouching Tiger, Hidden Dragon: Sword of Destiny",tt2652118
500,Pee-wee's Big Holiday,Adventure,"March 18, 2016",,63,6.1,"7,048",Pee-wee's Big Holiday,tt0837156
501,Special Correspondents,Satire,"April 29, 2016",,36,5.8,"20,154",Special Correspondents,tt4181052
502,The Do-Over,Action comedy,"May 27, 2016",,22,5.7,"39,016",The Do-Over,tt4769836
503,The Fundamentals of Caring,Comedy-drama,"June 24, 2016",,55,7.3,"56,050",The Fundamentals of Caring,tt2452386
504,Brahman Naman,Comedy,"July 7, 2016",,58,5.6,"1,615",Brahman Naman,tt5240748
505,Rebirth,Thriller,"July 15, 2016",,N/A,5.0,"4,194",Rebirth,tt4902716
506,Tallulah,Comedy-drama,"July 29, 2016",,63,6.7,"17,136",Tallulah,tt1639084
507,XOXO,Drama,"August 26, 2016",,N/A,5.3,"6,255",XOXO,tt4855748
508,ARQ,Science fiction/Thriller,"September 16, 2016",,N/A,6.4,"33,780",ARQ,tt5640450
509,The Siege of Jadotville,War,"October 7, 2016",,N/A,7.2,"30,411",The Siege of Jadotville,tt3922798
510,Mascots,Mockumentary,"October 13, 2016",,57,5.7,"6,627",Mascots,tt4936176
511,I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",,68,4.5,"12,269",I Am the Pretty Thing That Lives in the House,tt5059406
512,7 años,Drama,"October 28, 2016",,N/A,6.8,"4,102",7 Años,tt5517438
513,True Memoirs of an International Assassin,Action comedy,"November 11, 2016",,37,5.9,"19,659",True Memoirs of an International Assassin,tt1542768
514,Mercy,Thriller,"November 22, 2016",,N/A,5.0,"4,851",Mercy,tt2481496
515,Spectral,Science fiction/Action,"December 9, 2016",,N/A,6.3,"50,864",Spectral,tt2106651
516,Barry,Biopic,"December 16, 2016",,N/A,8.3,"41,644",Barry,tt5348176
517,Coin Heist,Heist film,"January 6, 2017",,N/A,4.8,"2,388",Coin Heist,tt5740806
518,Clinical,Thriller,"January 13, 2017",,N/A,5.1,"6,514",Clinical,tt5577742
519,Take the 10,Comedy,"January 20, 2017",,N/A,4.7,"2,716",Take the 10,tt5792472
520,iBoy,Science fiction/Thriller,"January 27, 2017",,50,6.0,"19,544",iBoy,tt3171832
521,Imperial Dreams,Drama,"February 3, 2017",,67,6.7,"3,948",Imperial Dreams,tt3331028
522,Girlfriend's Day,Comedy,"February 14, 2017",,N/A,5.2,"3,365",Girlfriend's Day,tt2962984
523,I Don't Feel at Home in This World Anymore,Drama,"February 24, 2017",,75,6.9,"46,128",I Don't Feel at Home in This World Anymore.,tt5710514
524,Burning Sands,Drama,"March 10, 2017",,63,6.0,"2,534",Burning Sands,tt5826432
525,Deidra & Laney Rob a Train,Drama,"March 17, 2017",,65,6.1,"1,576",Deidra & Laney Rob a Train,tt4144332
526,The Most Hated Woman in America,Biopic,"March 24, 2017",,41,6.1,"5,160",The Most Hated Woman in America,tt4842646
527,The Discovery,Science fiction/Drama,"March 31, 2017",,54,6.3,"28,961",The Discovery,tt5155780
528,Win It All,Comedy,"April 7, 2017",,77,6.2,"7,952",Win It All,tt3155328
529,Sandy Wexler,Comedy,"April 14, 2017",,40,5.2,"14,101",Sandy Wexler,tt5893332
530,Sand Castle,War film,"April 21, 2017",,45,6.3,"18,611",Sand Castle,tt2582576
531,Tramps,Romance,"April 21, 2017",,76,6.5,"4,402",Tramps,tt4991512
532,Small Crimes,Dark comedy,"April 28, 2017",,60,5.8,"6,598",Small Crimes,tt5717492
