,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
0,283587,tt1365050,2015-09-11,6000000,9077700,Drama,English,Beasts of No Nation,GH,Ghana,English
119,426426,tt6155172,2018-08-25,15000000,1140769,Drama,English,Roma,US,United States of America,English
121,9399,tt0100029,1990-06-07,6000000,24271196,Action,English,Lionheart,US,United States of America,English
152,26039,tt0062138,1967-08-30,2500000,3200000,Crime,English,Point Blank,US,United States of America,English
158,15596,tt0090685,1986-06-13,11000000,91258000,Comedy,English,Back to School,US,United States of America,English
175,64690,tt0780504,2011-08-06,15000000,78054825,Drama,English,Drive,US,United States of America,English
183,398978,tt1302006,2019-11-01,159000000,8000000,Crime,English,The Irishman,US,United States of America,English
187,492188,tt7653254,2019-11-06,19000000,2300000,Drama,English,Marriage Story,GB,United Kingdom,English
232,459992,tt2139881,2019-05-02,40000000,53847136,Comedy,Français,Long Shot,US,United States of America,Français
252,47821,tt0103976,1992-04-15,27000000,14683921,Drama,English,City of Joy,FR,France,English
325,309809,tt1754656,2015-07-29,64000000,97571250,Adventure,English,The Little Prince,FR,France,English
327,376659,tt4651520,2016-07-28,20000000,183936074,Comedy,Pусский,Bad Moms,US,United States of America,Pусский
329,587,tt0319061,2003-12-25,70000000,123218424,Adventure,English,Big Fish,US,United States of America,English
333,338766,tt2582782,2016-08-12,12000000,37589296,Crime,English,Hell or High Water,US,United States of America,English
336,140300,tt2267968,2016-01-23,145000000,521170825,Action,English,Kung Fu Panda 3,CN,China,English
340,369883,tt4981636,2016-10-07,8500000,23316139,Family,English,Middle School: The Worst Years of My Life,US,United States of America,English
342,429450,tt6302160,2016-12-07,13938145,30169000,Thriller,한국어/조선말,판도라,KR,South Korea,한국어/조선말
347,316154,tt4334266,2017-06-23,6000000,180851,Drama,English,The Bad Batch,US,United States of America,English
350,431530,tt6359956,2017-08-04,28000000,130560428,Comedy,English,A Bad Moms Christmas,US,United States of America,English
354,397837,tt1691916,2017-03-02,5000000,12141122,Drama,English,Before I Fall,US,United States of America,English
363,427900,tt5719700,2017-09-07,12000000,27020284,Comedy,English,Home Again,US,United States of America,English
364,293768,tt1458169,2017-06-16,21000000,30718107,Drama,English,Kidnap,GB,United Kingdom,English
374,7364,tt0318649,2005-04-06,130000000,119269486,Action,English,Sahara,DE,Germany,English
377,339988,tt4287320,2017-04-27,18000000,20497844,Drama,English,The Circle,US,United States of America,English
379,379149,tt1615160,2017-09-28,35000000,145374099,Action,普通话,The Foreigner,GB,United Kingdom,普通话
380,390043,tt1959563,2017-08-16,30000000,176586701,Thriller,Français,The Hitman's Bodyguard,BG,Bulgaria,Français
382,433808,tt5638642,2017-10-11,10000000,1785977,Horror,English,The Ritual,CA,Canada,English
384,365942,tt3922818,2017-01-26,30000000,14793385,Romance,English,The Space Between Us,US,United States of America,English
391,300668,tt2798920,2018-02-22,40000000,43070915,Science Fiction,English,Annihilation,GB,United Kingdom,English
399,420426,tt5979872,2018-07-20,3598902,4001919,Action,日本語,Bleach,JP,Japan,日本語
410,210577,tt2267998,2014-10-01,61000000,369330363,Mystery,English,Gone Girl,US,United States of America,English
422,274479,tt2446980,2015-12-24,60000000,101134059,Drama,Español,Joy,US,United States of America,Español
431,493551,tt5208252,2018-08-29,24000000,17506878,Drama,Deutsch,Operation Finale,AR,Argentina,Deutsch
439,6620,tt0047437,1954-09-28,2238813,10000000,Comedy,English,Sabrina,US,United States of America,English
441,503616,tt2126357,2018-11-22,16000000,72282227,Romance,English,Second Act,US,United States of America,English
464,12227,tt0103247,1991-01-18,14000000,34793160,Action,English,White Fang,US,United States of America,English
472,537915,tt4126476,2019-04-11,14000000,69497587,Drama,English,After,US,United States of America,English
478,505600,tt1489887,2019-05-24,6000000,24849029,Comedy,English,Booksmart,US,United States of America,English
479,327,tt0222851,2000-09-09,12000000,15250000,Crime,English,Brother,JP,Japan,English
484,17182,tt0116260,1996-01-12,20000000,26877589,Thriller,한국어/조선말,Eye for an Eye,US,United States of America,한국어/조선말
497,613090,tt9063902,2019-09-06,1450000,368430,Comedy,Español,Vivir dos veces,ES,Spain,Español
505,16320,tt0379786,2005-09-03,39000000,38869464,Science Fiction,English,Serenity,US,United States of America,English
506,479,tt0162650,2000-06-15,46000000,107196498,Action,English,Shaft,DE,Germany,English
527,473033,tt5727208,2019-08-30,19000000,50020902,Crime,English,Uncut Gems,US,United States of America,English
