,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
10,tt0191476,Fed Up,2015,N/A,5.9,118,Soapte de amor
15,tt0283440,Short Time Heroes,2015,N/A,N/A,N/A,Short Time Heroes
16,tt0297400,Snowblind,2015,N/A,6.7,85,Snowblind
23,tt0337926,Chatô - The King of Brazil,2015,N/A,6.1,569,Chatô - The King of Brazil
25,tt0346045,Transeúntes,2015,N/A,6.5,30,Transeúntes
29,tt0369610,Jurassic World,2015,59,7.0,"571,406",Jurassic World
33,tt0420293,The Stanford Prison Experiment,2015,67,6.9,"36,103",The Stanford Prison Experiment
43,tt0462335,High-Rise,2015,65,5.6,"37,084",High-Rise
46,tt0478970,Ant-Man,2015,64,7.3,"556,903",Ant-Man
56,tt0787524,The Man Who Knew Infinity,2015,56,7.2,"49,954",The Man Who Knew Infinity
57,tt0790770,Miles Ahead,2015,64,6.4,"9,162",Miles Ahead
60,tt0810819,The Danish Girl,2015,66,7.1,"160,897",The Danish Girl
73,tt0850678,Jackson Arms,2015,N/A,6.2,12,Jackson Arms
79,tt0884732,The Wedding Ringer,2015,35,6.6,"70,062",The Wedding Ringer
88,tt0977643,Chooriyan,2015,N/A,N/A,N/A,Chooriyan
110,tt10005688,Dhuntaaraa,2015,N/A,N/A,N/A,Dhuntaaraa
123,tt10007824,Dangebaaz,2015,N/A,N/A,N/A,Dangebaaz
332,tt10042824,Doña Julia,2015,N/A,N/A,N/A,Doña Julia
357,tt10047128,De hormigón armado,2015,N/A,N/A,N/A,De hormigón armado
360,tt10047768,Nikos Dragoumis: Enas zografos sti skia tis istorias (1874-1933),2015,N/A,N/A,N/A,Nikos Dragoumis: Enas zografos sti skia tis istorias (1874-1933)
370,tt10049176,Kids Of Wuzhumuqin Town,2015,N/A,N/A,N/A,Kids Of Wuzhumuqin Town
404,tt10054672,Young: Belljar of Ineffable Youth,2015,N/A,N/A,N/A,Young: Belljar of Ineffable Youth
526,tt10075438,On the Peaceful Peak,2015,N/A,N/A,N/A,On the Peaceful Peak
527,tt10075508,My Nhân,2015,N/A,N/A,N/A,My Nhân
584,tt10081028,Nguoi Tro Vê,2015,N/A,N/A,N/A,Nguoi Tro Vê
598,tt10081252,Stalins Rache: Die Angst der Sieger vor der Heimkehr,2015,N/A,N/A,N/A,Stalins Rache: Die Angst der Sieger vor der Heimkehr
634,tt10085492,Left for Dead- The Infection (The Series),2015,N/A,N/A,N/A,Left for Dead- The Infection (The Series)
666,tt10090052,Gli Sbancati 2,2015,N/A,N/A,N/A,Gli Sbancati 2
668,tt10090588,Street Stall,2015,N/A,N/A,N/A,Street Stall
681,tt10092508,Firak,2015,N/A,N/A,N/A,Firak
683,tt10092762,Aakhri Pal,2015,N/A,N/A,N/A,Aakhri Pal
721,tt10098112,Bad Class,2015,N/A,N/A,N/A,Bad Class
726,tt10098412,Män som Dansar,2015,N/A,N/A,N/A,Män som Dansar
742,tt10101196,New Orleans and the Mississippi River,2015,N/A,N/A,N/A,New Orleans and the Mississippi River
751,tt10101904,Taste of Life,2015,N/A,N/A,N/A,Taste of Life
764,tt1010248,Return of the Atom,2015,N/A,5.6,86,The Return of the Atom
788,tt10107482,Darah Panas,2015,N/A,1.3,10,Darah Panas
838,tt10115110,Toruk Takes Flight,2015,N/A,N/A,N/A,Toruk Takes Flight
852,tt10116038,Contatto,2015,N/A,N/A,N/A,Contatto
862,tt10117134,Film fra hedningeland,2015,N/A,N/A,N/A,Film fra hedningeland
871,tt10118134,Lat Mat,2015,N/A,4.2,5,Lat Mat
880,tt10121212,Kingdom Come,2015,N/A,N/A,N/A,Kingdom Come
895,tt10122502,I'm Still Alive,2015,N/A,N/A,N/A,I'm Still Alive
897,tt10122514,La vie de Jean-Marie,2015,N/A,N/A,N/A,La vie de Jean-Marie
923,tt10126858,Almas de la Niebla,2015,N/A,N/A,N/A,Almas de la Niebla
950,tt10130058,The Man With a Box,2015,N/A,N/A,N/A,The Man With a Box
1030,tt10146586,Minecraft: Into the Nether,2015,N/A,N/A,N/A,Minecraft: into the Nether
1040,tt1014763,Child 44,2015,41,6.5,"64,582",Child 44
1049,tt10149750,Ange Leccia - Dallas Contemporary,2015,N/A,N/A,N/A,Ange Leccia - Dallas Contemporary
1055,tt10150272,"A Voyage: Karmi, Trimithi and Ais Yorkis",2015,N/A,N/A,N/A,"A Voyage: Karmi, Trimithi and Ais Yorkis"
1074,tt10151800,Longest Run,2015,N/A,N/A,N/A,Longest Run
1136,tt10160858,Reverie,2015,N/A,N/A,N/A,Reverie
1151,tt10162794,Chandrika,2015,N/A,N/A,N/A,Chandrika
1153,tt10163058,Todos os Dias da Nossa Vida,2015,N/A,N/A,N/A,Todos os Dias da Nossa Vida
1158,tt10163350,Millennium Children,2015,N/A,N/A,N/A,Millennium Children
1160,tt10163432,A hunok titkos története,2015,N/A,N/A,N/A,A hunok titkos története
1178,tt10167834,Ri ben zhan fan chan hui bei wang lu,2015,N/A,N/A,N/A,Ri ben zhan fan chan hui bei wang lu
1179,tt10167868,A Place Where The Dream Begins,2015,N/A,N/A,N/A,A Place Where The Dream Begins
1180,tt10167938,Jie di liang,2015,N/A,N/A,N/A,Jie di liang
1181,tt10168032,Zhan xin ku lv,2015,N/A,N/A,N/A,Zhan xin ku lv
1186,tt10168674,Dushman,2015,N/A,N/A,N/A,Dushman
1188,tt10168764,Pashbandh,2015,N/A,N/A,N/A,Pashbandh
1218,tt10173962,Erau Kota Raja,2015,N/A,N/A,N/A,Erau Kota Raja
1234,tt10177978,Le triomphe de l'amour,2015,N/A,N/A,N/A,Le triomphe de l'amour
1273,tt10183850,The Forest of Iron,2015,N/A,N/A,N/A,The Forest of Iron
1290,tt1018728,Heart Like a Hand Grenade,2015,N/A,7.5,366,Heart Like a Hand Grenade
1293,tt1018765,Our Brand Is Crisis,2015,53,6.1,"20,206",Our Brand Is Crisis
1360,tt10196012,Jee Chahta Hai,2015,N/A,N/A,N/A,Jee Chahta Hai
1457,tt10210636,"Yeo-ja, nam-ja",2015,N/A,N/A,N/A,"Yeo-ja, nam-ja"
1483,tt10214908,Hai Golmaal in White House,2015,N/A,N/A,N/A,Hai gol mal in white house
1492,tt10217308,Corazones en Llamas 2,2015,N/A,N/A,N/A,Corazones en Llamas 2
1521,tt10219162,Land of Milk & Money,2015,N/A,N/A,N/A,Land of Milk & Money
1542,tt10224002,Somos semilla,2015,N/A,N/A,N/A,Somos semilla
1577,tt1022871,Deer Season,2015,N/A,4.8,11,Deer Season
1642,tt10238472,Family Matters,2015,N/A,N/A,N/A,Family Matters
1647,tt10238722,Shoulder Season,2015,N/A,N/A,N/A,Shoulder Season
1663,tt10240726,Manatsu no yume,2015,N/A,N/A,N/A,Manatsu no yume
1668,tt10240986,Beyond The Lens: The Life & Death of Bruiser TV,2015,N/A,N/A,N/A,Beyond The Lens: The Life & Death of Bruiser TV
1737,tt10253878,A Punny Tale,2015,N/A,N/A,N/A,A Punny Tale
1755,tt10256776,Tere Ishq Mein Qurbaan,2015,N/A,N/A,N/A,Tere Ishq Mein Qurbaan
1789,tt10261878,Kapsul,2015,N/A,N/A,N/A,Kapsul
1795,tt10262510,"Of Humans, Horses and heinous...",2015,N/A,N/A,N/A,"Of Humans, Horses and heinous..."
1812,tt10265432,The History of Film Animation,2015,N/A,N/A,N/A,The History of Film Animation
1845,tt10270388,Romsey Remembering,2015,N/A,N/A,N/A,Romsey Remembering
1906,tt10278742,The Battle of New Orleans: A Meaningful Victory,2015,N/A,N/A,N/A,The Battle of New Orleans: A Meaningful Victory
1954,tt10288256,Con mis propias manos,2015,N/A,N/A,N/A,Con mis propias manos
1963,tt10289714,America's Greatest Airshows,2015,N/A,N/A,N/A,America's Greatest Airshows
1969,tt10290170,Rolig Under Pres,2015,N/A,N/A,N/A,Rolig Under Pres
1988,tt1029360,Poltergeist,2015,47,4.9,"54,341",Poltergeist
2042,tt10299856,My Daddy My King,2015,N/A,N/A,N/A,My Daddy My King
2062,tt10300622,Trouble Down East,2015,N/A,N/A,N/A,Trouble Down East
2111,tt10307716,Double Date,2015,N/A,N/A,N/A,Double Date
2295,tt10331574,SOS Talk,2015,N/A,N/A,N/A,SOS Talk
2327,tt10334430,Arthur L'aventurier au Costa Rica,2015,N/A,N/A,N/A,Arthur L'aventurier au Costa Rica
2343,tt10337244,Caminho de Volta,2015,N/A,N/A,N/A,Caminho de Volta
2409,tt10345972,Zero!,2015,N/A,N/A,N/A,Zero!
2438,tt10352214,Magánterület,2015,N/A,N/A,N/A,Magánterület
2452,tt10356040,Dab+,2015,N/A,N/A,N/A,Dab+
2493,tt10360924,Cap aux bords,2015,N/A,N/A,N/A,Cap aux bords
2505,tt10363850,Takut: Tujuh Hari Bersama Setan,2015,N/A,N/A,N/A,Takut: Tujuh Hari Bersama Setan
2517,tt10366116,Through Our Eyes,2015,N/A,N/A,N/A,Through Our Eyes
2542,tt10368514,Halloween II,2015,N/A,N/A,N/A,Halloween II
2769,tt10395016,Siegfried's Cooking Adventures - Maltese Connection 1.2,2015,N/A,N/A,N/A,Siegfried's Cooking Adventures - Maltese Connection 1.2
2791,tt10398936,Interview wit German,2015,N/A,N/A,N/A,Interview wit German
2833,tt10403902,Modus,2015,N/A,N/A,N/A,Modus
2874,tt10408182,Huésped,2015,N/A,N/A,N/A,Huésped
2891,tt10409744,The Maze,2015,N/A,N/A,N/A,The Maze
2919,tt10410856,L'ultima voce.,2015,N/A,N/A,N/A,L'ultima voce.
2923,tt10411334,Giulio Andreotti - La politica del cinema,2015,N/A,N/A,N/A,Giulio Andreotti - La politica del cinema
2960,tt10415334,La Passione e l'utopia,2015,N/A,N/A,N/A,La Passione e l'utopia
2961,tt10415342,Quest'Italia suona jazz,2015,N/A,N/A,N/A,Quest'Italia suona jazz
2965,tt10415400,1945 L'anno che non c'è,2015,N/A,N/A,N/A,1945 L'anno che non c'è
3002,tt10418364,Chinese Horror Story,2015,N/A,N/A,N/A,Chinese Horror Story
3007,tt10418714,Bailando con Margot,2015,N/A,N/A,N/A,Bailando con Margot
3194,tt10443342,Bai Yi Nan,2015,N/A,N/A,N/A,Bai Yi Nan
3198,tt10443402,Distant Hug,2015,N/A,N/A,N/A,Distant Hug
3211,tt10443618,Wolf is Coming,2015,N/A,N/A,N/A,Wolf is Coming
3354,tt10449552,Lines from a Poem,2015,N/A,N/A,N/A,Lines from a Poem
3399,tt10453012,Invisible Man,2015, , , , 
3442,tt10453416,Rabbit Hero,2015,N/A,N/A,N/A,Rabbit Hero
3456,tt10456316,High Point: A Memoir of the African American Community,2015,N/A,N/A,N/A,High Point: A Memoir of the African American Community
3478,tt10458310,Morazan. A revolution as told by its people,2015,N/A,N/A,N/A,Morazan. A revolution as told by its people
3539,tt10462842,Decide 2,2015,N/A,N/A,N/A,Decide 2
3593,tt10467312,Rescuers,2015,N/A,N/A,N/A,Rescuers
3639,tt10468264,MULT v kino. Vypusk # 16,2015,N/A,N/A,N/A,Mult v kino. Vol.16
