,ID
0,532608
1,511526
2,339116
3,347689
4,511054
5,497936
6,245913
7,589740
8,400042
9,318850
10,418792
11,414085
12,430366
13,456890
14,472536
15,727535
16,425744
17,368434
18,426350
19,567148
20,589901
21,671259
22,675139
23,436402
24,703261
25,703261
26,57539
27,653629
28,401980
29,664746
30,405034
31,426402
32,533697
33,598620
34,734507
35,542201
36,487422
37,657569
38,607160
39,546854
40,448482
41,430162
42,425170
43,503199
44,649733
45,389845
46,427461
47,430135
48,448343
49,490205
50,640679
51,756771
52,469529
53,454032
54,697278
55,424144
56,711487
57,429755
58,428085
59,226616
60,58028
61,9493
62,395699
63,636371
64,321514
65,524711
66,425963
67,449036
68,594242
69,341006
70,460194
71,202769
72,622578
73,612950
74,693281
75,428488
76,748799
77,678570
78,619669
79,428322
80,425926
81,429209
82,453002
83,435238
84,427461
85,447418
86,694212
87,298317
88,421844
89,636123
90,394373
91,605333
92,166871
93,647795
94,668020
95,598383
96,693893
97,378476
98,382385
99,664178
100,644679
101,741107
102,50892
103,316152
104,72127
105,420471
106,454198
107,430755
108,443771
109,411436
110,407860
111,426481
112,652036
113,600325
114,715990
115,710403
116,428141
117,137562
118,655594
119,462783
120,715990
121,228034
122,501548
123,596492
124,596985
125,493881
126,579796
127,510980
128,451481
129,65535
130,650904
131,413508
132,628335
133,421243
134,444519
135,598614
136,499665
137,482821
138,590444
139,683858
140,333371
141,395759
142,453120
143,651302
144,401628
145,457210
146,391086
147,31094
148,594522
149,552195
150,421740
151,81063
152,464901
153,694123
154,197363
155,706202
156,698234
157,694818
158,694532
159,421252
160,499751
161,622142
162,656795
163,614576
164,400428
165,405241
166,456070
167,538402
168,80149
169,603173
170,479730
171,522097
172,407548
173,462988
174,529154
175,476566
176,254675
177,658906
178,465547
179,529681
180,412532
181,505617
182,400921
183,729145
184,291121
185,730448
186,730450
187,565981
188,513867
189,413850
190,731529
191,259694
192,381862
193,409276
194,387847
195,415123
196,521901
197,261698
198,444861
199,587611
200,708366
201,423841
202,425252
203,427776
204,483304
205,408209
206,586845
207,579411
208,432146
209,417766
210,322307
211,674779
212,429934
213,743691
214,712991
215,514935
216,407371
217,483848
218,252451
219,58431
220,418272
221,642227
222,118626
223,95610
224,17584
225,502403
