,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
9,318850,tt1002563,2016-03-10,18500000,6490401,Drama,English,The Young Messiah,US,United States of America,English
61,9493,tt0096320,1988-12-09,15000000,216614388,Comedy,English,Twins,US,United States of America,English
69,341006,tt1082807,2016-03-17,5000000,10166820,Action,English,The Belko Experiment,CO,Colombia,English
71,202769,tt1911661,2010-09-16,150000,10000,Documentary,Italiano,Vedozero,IT,Italy,Italiano
103,316152,tt1124037,2016-06-24,50000000,25035950,Action,English,Free State of Jones,US,United States of America,English
140,333371,tt1179933,2016-03-10,15000000,108286421,Thriller,English,10 Cloverfield Lane,US,United States of America,English
191,259694,tt1292566,2016-01-21,38000000,112343513,Comedy,English,How to Be Single,US,United States of America,English
219,58431,tt1374989,2016-02-04,28000000,16374328,Romance,English,Pride and Prejudice and Zombies,US,United States of America,English
223,95610,tt1473832,2016-09-14,35000000,211952420,Comedy,English,Bridget Jones's Baby,FR,France,English
226,302699,tt1489889,2016-06-15,50000000,216972543,Action,English,Central Intelligence,US,United States of America,English
232,332979,tt1620935,2016-11-04,6000000,6174491,Drama,English,Bleed for This,US,United States of America,English
234,47933,tt1628841,2016-06-22,165000000,389681935,Action,English,Independence Day: Resurgence,US,United States of America,English
239,340101,tt1661275,2017-04-06,11795877,3603484,Romance,English,Their Finest,GB,United Kingdom,English
242,223702,tt1700841,2016-07-11,19000000,140705322,Adventure,English,Sausage Party,CA,Canada,English
243,384682,tt1711525,2016-11-25,45000000,114501299,Comedy,English,Office Christmas Party,US,United States of America,English
255,291870,tt1860213,2016-01-21,11500000,94073028,Comedy,English,Dirty Grandpa,US,United States of America,English
256,376660,tt1878870,2016-11-18,9000000,18803648,Comedy,English,The Edge of Seventeen,US,United States of America,English
263,283366,tt1935859,2016-09-28,110000000,296482446,Drama,English,Miss Peregrine's Home for Peculiar Children,BE,Belgium,English
268,301365,tt1974419,2016-06-08,7000000,3377430,Thriller,English,The Neon Demon,DK,Denmark,English
269,291328,tt1974420,2016-11-23,25000000,3885342,Romance,English,Rules Don't Apply,US,United States of America,English
278,340945,tt2032572,2016-09-22,40000000,2158568,Action,English,USS Indianapolis: Men of Courage,US,United States of America,English
