,tconst,release_date,budget,revenue,genres,original_language,origin_country,production_countries name,spoken_languages name,Profit%
0,tt0810819,2015-01-01,15000000,64191523,Drama,Français,DE,Germany,Français,327.94
1,tt0884732,2015-01-16,23000000,79799880,Comedy,English,US,United States of America,English,246.96
2,tt2250912,2017-07-05,175000000,880166924,Action,English,US,United States of America,English,402.95
3,tt1014763,2015-03-15,50000000,3324330,Crime,English,GB,United Kingdom,English,-93.35
4,tt1083452,2016-02-26,23000000,46152411,Comedy,Deutsch,DE,Germany,Deutsch,100.66
5,tt1135989,2015-09-03,4000000,572212,Drama,עִבְרִית,US,United States of America,עִבְרִית,-85.69
6,tt10963910,2019-08-22,20,1500, , , , , ,7400.0
7,tt0461936,2006-10-20,5000000,15000000,Action,हिन्दी,IN,India,हिन्दी,200.0
8,tt1340138,2015-06-23,155000000,440603537,Science Fiction,English,US,United States of America,English,184.26
9,tt1392190,2015-05-13,150000000,378858340,Action,English,AU,Australia,English,152.57
10,tt1398426,2015-08-13,28000000,201634991,Drama,English,US,United States of America,English,620.12
11,tt1524575,2015-07-24,13000000,1784763,Thriller,English,US,United States of America,English,-86.27
12,tt1596363,2015-12-11,28000000,133346506,Comedy,English,US,United States of America,English,376.24
13,tt1618442,2015-10-21,90000000,146936910,Fantasy,English,US,United States of America,English,63.26
14,tt1655441,2015-04-16,25000000,65663276,Fantasy,English,US,United States of America,English,162.65
15,tt1727776,2015-10-23,15000000,14860766,Comedy,English,US,United States of America,English,-0.93
16,tt1772288,2015-03-19,10000000,10835752,Comedy,English,US,United States of America,English,8.36
17,tt1823672,2015-03-04,49000000,104399548,Crime,English,US,United States of America,English,113.06
18,tt2002868,2015-02-13,5200000,8200000,Comedy,தமிழ்,IN,India,தமிழ்,57.69
19,tt2140037,2015-12-31,25000000,1397284,Action,English,US,United States of America,English,-94.41
20,tt2199571,2015-03-11,50000000,71561644,Action,English,US,United States of America,English,43.12
21,tt2268016,2015-07-01,14800000,117813057,Comedy,English,US,United States of America,English,696.03
22,tt2279339,2015-11-12,17000000,42426912,Comedy,English,US,United States of America,English,149.57
23,tt2279373,2015-01-28,74000000,311594032,Adventure,English,US,United States of America,English,321.07
24,tt2325977,2015-07-01,10000000,111107,Drama,English,AU,Australia,English,-98.89
25,tt2381249,2015-07-23,150000000,682330139,Action,Deutsch,US,United States of America,Deutsch,354.89
26,tt2395427,2015-04-22,250000000,1405403694,Action,English,US,United States of America,English,462.16
27,tt2401878,2015-12-30,8000000,5659286,Animation,English,US,United States of America,English,-29.26
28,tt2404425,2015-03-20,11000000,61619773,Drama,English,GB,United Kingdom,English,460.18
29,tt2424988,2015-05-01,11000000,41000000,Drama,हिन्दी,IN,India,हिन्दी,272.73
30,tt2436386,2015-01-28,12000000,32248241,Science Fiction,English,US,United States of America,English,168.74
31,tt2452042,2015-11-01,99000000,246233113,Adventure,English,US,United States of America,English,148.72
32,tt2473510,2015-10-21,10000000,78096553,Horror,English,US,United States of America,English,680.97
33,tt2488496,2015-12-15,245000000,2068223624,Action,English,US,United States of America,English,744.17
34,tt2555736,2015-02-26,10000000,85978266,Drama,English,GB,United Kingdom,English,759.78
35,tt2558022,2016-02-18,10000,525000,Action,Deutsch,DE,Germany,Deutsch,5150.0
36,tt2631186,2015-07-10,25130430,90747520,Action,,IN,India,,261.11
37,tt2679042,2015-08-20,35000000,81967450,Action,English,ID,Indonesia,English,134.19
38,tt2726560,2015-04-09,34000000,63013281,Drama,English,US,United States of America,English,85.33
39,tt0056592,1962-12-25,2000000,13129846,Drama,English,US,United States of America,English,556.49
40,tt2908446,2015-03-18,110000000,295238201,Action,English,US,United States of America,English,168.4
41,tt2938956,2015-09-03,25000000,72629670,Thriller,English,BE,Belgium,English,190.52
42,tt2979920,2015-05-15,18000000,1500000,Crime,हिन्दी,IN,India,हिन्दी,-91.67
43,tt2980554,2015-06-13,8245,81379,Drama,English,US,United States of America,English,887.01
44,tt3045616,2015-01-21,60000000,30418560,Comedy,English,US,United States of America,English,-49.3
45,tt3072482,2015-09-12,10000000,14333790,Action,English,RU,Russia,English,43.34
46,tt3164256,2015-10-22,15000000,3020664,Comedy,English,US,United States of America,English,-79.86
47,tt3168230,2015-06-19,11000000,29355203,Drama,Français,GB,United Kingdom,Français,166.87
48,tt3172532,2015-08-07,2000000,1477002,Drama,English,US,United States of America,English,-26.15
49,tt1123372,2006-12-07,492,1, ,Bahasa melayu, , , ,-99.8
50,tt3316948,2015-08-19,28000000,27139524,Comedy,English,CH,Switzerland,English,-3.07
51,tt3411432,2015-04-09,6000000,769028,Animation,English,BE,Belgium,English,-87.18
52,tt3422462,2015-08-07,3600000,830000,Comedy,हिन्दी,IN,India,हिन्दी,-76.94
53,tt3447364,2015-04-02,5100000,5200000,Action,English,IN,India,English,1.96
54,tt3460252,2015-12-25,44000000,155760117,Crime,Español,US,United States of America,Español,254.0
55,tt3513068,2015-10-07,610000,1045, ,български език, , , ,-99.83
56,tt3576728,2015-12-09,30000000,1750000,Action,English,AE,United Arab Emirates,English,-94.17
57,tt3614530,2015-10-22,5000000,2333684,Drama,English,US,United States of America,English,-53.33
58,tt3622592,2015-06-18,12000000,85512300,Drama,English,US,United States of America,English,612.6
59,tt3623726,2015-07-10,18000000,41325328,Comedy,English,US,United States of America,English,129.59
60,tt3626742,2015-11-20,4500000,38482411,Comedy,English,ES,Spain,English,755.16
61,tt3633118,2015-03-26,10000000,1921923,Fantasy,English,MX,Mexico,English,-80.78
62,tt3682448,2015-10-15,40000000,165478348,Thriller,Pусский,IN,India,Pусский,313.7
63,tt3715320,2015-07-17,11000000,27391084,Drama,English,US,United States of America,English,149.01
64,tt3722070,2015-11-13,6000000,41387687,Comedy,English,GB,United Kingdom,English,589.79
65,tt3735246,2015-12-18,19500000,56000000,War,हिन्दी,IN,India,हिन्दी,187.18
66,tt3766394,2015-11-27,1000000,14659448,Comedy,English,US,United States of America,English,1365.94
67,tt3787590,2015-08-26,6000000,11122090,Drama,English,GB,United Kingdom,English,85.37
68,tt3808342,2015-06-11,1000000,1777043,War,Deutsch,HU,Hungary,Deutsch,77.7
69,tt3819668,2015-04-18,5000000,61768190,Action,日本語,JP,Japan,日本語,1135.36
70,tt3830222,2015-10-30,3,2,Thriller,English,US,United States of America,English,-33.33
71,tt3863552,2015-07-17,13000000,150000000,Action,हिन्दी,IN,India,हिन्दी,1053.85
72,tt1730768,2017-03-31,20000000,26152835,Drama,English,CZ,Czech Republic,English,30.76
73,tt4046784,2015-09-09,61000000,312296056,Action,English,US,United States of America,English,411.96
74,tt4057376,2015-12-04,18000000,1776333,Fantasy,Pусский,RU,Russia,Pусский,-90.13
75,tt4061010,2015-10-03,8000000,16458,Thriller,English,US,United States of America,English,-99.79
76,tt4110568,2015-06-04,13000000,22000000,Drama,हिन्दी,IN,India,हिन्दी,69.23
77,tt4142012,2015-04-05,32500,35000,Drama,,MV,Maldives,,7.69
