,tconst,release_date,budget,revenue,genres,original_language,origin_country,production_countries name,spoken_languages name,Profit%
0,tt1075113,2009-06-03,13000000,2651917,Drama,Français,FR,France,Français,-79.6
1,tt1273221,2018-09-20,8000000,252676,Crime,English,GB,United Kingdom,English,-96.84
2,tt1285009,2018-03-07,12500000,31039126,Horror,English,US,United States of America,English,148.31
3,tt1308728,2018-08-22,40000000,27506452,Action,English,CN,China,English,-31.23
5,tt1413492,2018-01-16,35000000,67131266,Drama,English,US,United States of America,English,91.8
6,tt1571234,2018-11-27,100000000,83672673,Adventure,English,NZ,New Zealand,English,-16.33
7,tt2119543,2018-09-15,42000000,131457147,Fantasy,English,CA,Canada,English,212.99
8,tt2296777,2018-03-15,59000000,87625666,Animation,English,GB,United Kingdom,English,48.52
9,tt2557478,2018-03-21,150000000,290061297,Action,English,CN,China,English,93.37
10,tt2873282,2018-02-28,69000000,151572634,Mystery,English,US,United States of America,English,119.67
11,tt3104988,2018-08-15,30000000,237994561,Comedy,广州话 / 廣州話,US,United States of America,广州话 / 廣州話,693.32
12,tt3289724,2018-12-21,39000000,12780692,Drama,English,US,United States of America,English,-67.23
13,tt0410297,2006-06-16,40000000,114830111,Romance,English,US,United States of America,English,187.08
14,tt3778644,2018-05-15,250000000,392952373,Adventure,English,US,United States of America,English,57.18
15,tt3920820,2019-08-09,10,4,Drama,English,US,United States of America,English,-60.0
16,tt3956336,2018-09-21,2000000,2231,Adventure,English,US,United States of America,English,-99.89
17,tt4073790,2018-07-25,34000000,41142379,Science Fiction,English,US,United States of America,English,21.01
18,tt4103724,2018-01-26,3500000,16367326,Romance,English,US,United States of America,English,367.64
19,tt4123430,2018-11-14,200000000,653355901,Adventure,English,GB,United Kingdom,English,226.68
20,tt4500922,2018-01-10,62000000,288175335,Action,English,US,United States of America,English,364.8
21,tt4537896,2018-09-14,29000000,26000000,Crime,English,US,United States of America,English,-10.34
22,tt4669788,2018-12-25,20000000,38673750,Drama,English,US,United States of America,English,93.37
23,tt4701724,2018-01-26,50000000,53431158,Family,English,FR,France,English,6.86
24,tt4761916,2018-07-19,1000000,9602624,Horror,English,US,United States of America,English,860.26
25,tt4881806,2018-06-06,170000000,1303459585,Action,English,US,United States of America,English,666.74
26,tt4912910,2018-07-13,178000000,791017452,Action,English,CN,China,English,344.39
27,tt4971344,2018-09-19,38000000,13143056,Western,English,US,United States of America,English,-65.41
28,tt5052474,2018-06-27,35000000,75836683,Action,English,US,United States of America,English,116.68
29,tt5095030,2018-07-04,140000000,622674139,Action,English,US,United States of America,English,344.77
30,tt5164432,2018-02-16,17000000,66316289,Comedy,English,US,United States of America,English,290.1
31,tt5177088,2018-10-25,43000000,35164920,Action,English,CA,Canada,English,-18.22
32,tt5208252,2018-08-29,24000000,17506878,Drama,Deutsch,AR,Argentina,Deutsch,-27.05
33,tt5208950,2018-01-26,13000000,4537,Action,English,US,United States of America,English,-99.97
34,tt5220122,2018-06-28,80000000,100176000,Family,English,US,United States of America,English,25.22
35,tt5325684,2018-03-09,2900000,3200000,Thriller,हिन्दी,IN,India,हिन्दी,10.34
36,tt5360952,2018-02-28,35000000,32517248,Action,English,US,United States of America,English,-7.09
37,tt5523010,2018-10-26,120000000,59522646,Fantasy,English,US,United States of America,English,-50.4
38,tt5580266,2018-10-19,23000000,34934009,Crime,English,US,United States of America,English,51.89
39,tt5613484,2018-10-19,258158,6897446,Drama,English,US,United States of America,English,2571.79
40,tt5664636,2018-10-11,35000000,92503612,Adventure,English,GB,United Kingdom,English,164.3
41,tt5691670,2018-06-21,8500000,2053469,Crime,English,US,United States of America,English,-75.84
42,tt5726086,2018-01-03,10000000,167184112,Mystery,English,US,United States of America,English,1571.84
43,tt5734576,2018-11-29,7700000,41036181,Horror,English,US,United States of America,English,432.94
44,tt5834262,2018-06-07,15000000,12371132,Thriller,English,GB,United Kingdom,English,-17.53
45,tt5842616,2018-06-01,6800000,19700000,Drama,हिन्दी,IN,India,हिन्दी,189.71
46,tt5848272,2018-11-20,175000000,529221154,Family,English,US,United States of America,English,202.41
