,ID
0,492619
1,633838
2,574482
3,504562
4,540414
5,272480
6,506876
7,680676
8,625453
9,643188
10,608504
11,654631
12,587693
13,605309
14,618008
15,520754
16,640153
17,586776
18,597612
19,597613
20,608501
21,586531
22,597620
23,597623
24,592710
25,596028
26,597597
27,597588
28,597611
29,592997
30,596980
31,623344
32,598492
33,589367
34,587670
35,590191
36,593063
37,580637
38,632840
39,408751
40,589446
41,718384
42,654197
43,644446
44,587866
45,600336
46,584134
47,593694
48,604251
49,589179
50,721488
51,580430
52,582019
53,582023
54,643219
55,592108
56,594071
57,584190
58,651270
59,588471
60,690350
61,685597
62,588302
63,616618
64,589591
65,573896
66,602649
67,617450
68,585072
69,685272
70,567381
71,631758
72,14815
73,571573
74,733505
75,606171
76,678792
77,591400
78,676730
79,602441
80,589288
81,618220
82,664199
83,602473
84,594223
85,594025
86,641751
87,676281
88,594430
89,603702
90,628784
91,694302
92,596204
93,668593
94,631689
95,594407
96,588709
97,649050
98,712049
99,603882
100,592675
101,607117
102,645216
103,591441
104,610301
105,589453
106,579855
107,639311
108,659682
109,592537
110,628981
111,611207
112,659156
113,602797
114,595721
115,669339
116,92536
117,555819
118,573576
119,643730
120,598069
121,591587
122,622035
123,654830
124,609675
125,575849
126,651135
127,584416
128,590443
129,526426
130,526429
131,590479
132,610074
133,691523
134,662347
135,713787
136,593943
137,598654
138,590071
139,679033
140,307768
141,640171
142,603142
143,589677
144,582034
145,664336
146,596876
147,589371
148,591572
149,589476
150,598073
151,691196
152,600939
153,646083
154,720562
155,652464
156,622602
157,589705
158,591068
159,589908
160,585280
161,637917
162,659381
163,652424
164,710742
165,653470
166,624895
167,589707
168,594021
169,628259
170,634320
171,604169
172,589698
173,589703
174,679773
175,594518
176,592746
177,610489
178,305072
179,611634
180,631267
181,655774
182,680327
183,709876
184,611232
185,703185
186,588024
187,589315
188,625155
189,585504
190,592639
191,639609
192,591903
193,591415
194,587028
195,596179
196,598065
197,607346
198,613667
199,596799
200,598389
201,647102
202,100347
203,652335
204,597311
205,643710
206,335270
207,575116
208,612746
209,707412
210,593672
211,655569
212,549644
213,598255
214,697045
215,590497
216,595665
217,602998
218,744597
219,630047
220,614715
221,658799
222,617486
223,589308
224,543878
225,653023
226,599321
227,595867
228,593057
229,606446
230,595776
231,569401
232,640092
233,584138
234,605037
235,676751
236,592548
237,580641
238,592526
239,622962
240,621974
241,575857
242,575571
243,608124
244,615753
245,593837
246,592867
247,624147
248,636560
249,612030
250,620284
251,590174
252,625221
253,756694
254,593089
255,592251
256,676848
257,655041
258,477935
259,594345
260,640488
261,605015
262,536506
263,141000
264,620881
265,688719
266,595652
267,612845
268,593691
269,645524
270,586718
271,609479
272,600886
273,647524
274,701704
275,593378
276,110122
277,594054
278,635577
279,608726
280,592536
281,460313
282,746724
283,684562
284,101336
285,591470
286,593961
287,594431
288,593959
289,589893
290,587623
291,592895
292,632958
293,728403
294,575964
295,756712
296,696821
297,616240
298,589688
299,612692
300,302147
301,591513
302,665412
303,696191
304,640955
305,643076
306,629181
307,596354
308,732576
309,594076
310,649273
311,589863
312,655753
313,621765
314,703319
315,594058
316,610695
317,589527
318,596196
319,608323
320,668632
321,594498
322,588753
323,592722
324,644144
325,634583
326,609510
327,599955
328,595175
329,593803
330,658408
331,636312
332,644538
333,597029
334,594500
335,600428
336,717960
337,639916
338,672522
339,588729
340,627087
341,603672
342,599978
343,589198
344,604146
345,654001
346,481272
347,582332
348,658587
349,610454
350,610394
351,602663
352,629081
353,605279
354,591906
355,610530
356,643807
357,749821
358,620276
359,361848
360,517148
361,596041
362,592721
363,618362
364,649317
365,626616
366,600419
367,662657
368,589319
369,589982
370,594771
371,628575
372,617400
373,634253
374,595977
375,595900
376,636681
377,596302
378,616454
379,575796
380,626299
381,271568
382,220193
383,694290
384,601425
385,605249
386,610482
387,596659
388,590978
389,625532
390,662522
391,592547
392,595558
393,595266
394,640487
395,596881
396,596868
397,631657
398,738988
399,575639
400,596860
401,585073
402,597693
403,599037
404,594394
405,692625
406,624587
407,597108
408,597099
409,599136
410,589382
411,686394
412,599993
413,662310
414,595188
415,531154
416,595941
417,595942
418,2897
419,735943
420,588175
421,597254
422,574309
423,636986
424,571787
425,588070
426,591019
427,593855
428,597958
429,485368
430,597939
431,653327
432,26290
433,515404
434,627657
435,669374
436,602678
437,726389
438,686924
439,610080
440,639160
441,701781
442,609166
443,588137
444,711235
445,637595
446,597093
447,588409
448,599386
449,595416
450,680771
451,574297
452,632464
453,581218
454,598269
455,453405
456,607304
457,720416
458,727643
459,529602
460,567006
461,612671
462,631021
463,637240
464,606952
465,684448
466,648568
467,595989
468,691419
469,624933
470,621634
471,640388
472,604920
473,644682
474,588193
475,606122
476,600127
477,601310
478,599795
479,717396
480,597883
481,640187
482,607945
483,603997
484,577034
485,603953
486,654504
487,601653
488,637840
489,583561
490,622723
491,604134
492,647609
493,515922
494,654913
495,718757
496,599616
497,599806
498,640121
499,662716
500,606390
501,620768
502,641481
503,599765
504,685496
505,423097
506,591134
507,688646
508,588546
509,594162
510,63407
511,613538
512,633062
513,717397
514,598619
515,662341
516,612304
517,602661
518,21042
519,658739
520,702561
521,673082
522,590083
523,600129
524,600492
525,571033
526,611403
527,624782
528,598474
529,687351
530,614256
531,600496
532,655311
533,595979
534,592739
535,647602
536,592776
537,672304
538,587235
539,622691
540,750767
541,607087
542,680977
543,606004
544,577932
545,601283
546,589157
547,639562
548,656802
549,608321
550,663538
551,626486
552,753629
553,734356
554,621268
555,597826
556,597898
557,597899
558,597896
559,685209
560,625884
561,615749
562,608688
563,601249
564,296531
565,822
566,602142
567,637299
568,640100
569,603876
570,580949
571,621914
572,611537
573,674893
574,652763
575,605074
576,623023
577,584574
578,591322
579,576984
580,573310
581,597237
582,601940
583,611581
584,325305
585,643936
586,602355
587,618227
588,600633
589,593119
590,619162
591,601469
592,633356
593,623283
594,612403
595,588157
596,756650
597,601781
598,576191
599,611390
600,646917
601,661455
602,602214
603,639838
604,238301
605,594330
606,560439
607,597089
608,609619
609,601651
610,669959
611,657751
612,624635
613,756083
614,627796
615,604927
616,602307
617,504987
618,703829
619,131235
620,607114
621,608785
622,657595
623,743126
624,691458
625,701277
626,602432
627,636475
628,586602
629,593880
630,608748
631,616465
632,602469
633,617771
634,596652
635,607693
636,560025
637,612578
638,711959
639,704082
640,595533
641,566545
642,595521
643,594353
644,603154
645,614712
646,634894
647,575593
648,620954
649,584586
650,617373
651,669350
652,532740
653,389372
654,611406
655,748227
656,601434
657,465203
658,602129
659,465203
660,727583
661,619801
662,588894
663,670730
664,611182
665,631698
666,637831
667,605941
668,613047
669,715313
670,603884
671,603883
672,691376
673,599679
674,604149
675,557989
676,603876
677,628608
678,616403
679,601610
680,590363
681,650916
682,630558
683,614203
684,597686
685,507520
686,531813
687,626059
688,586542
689,662917
690,324075
691,630746
692,606593
693,603573
694,603961
695,603964
696,597397
697,611284
698,536181
699,638782
700,588951
701,602143
702,582950
703,603110
704,614387
705,625058
706,601613
707,614250
708,604271
709,497524
710,633577
711,601314
712,587754
713,603907
714,599502
715,552365
716,715389
717,601703
718,599296
719,732128
720,628005
721,694831
722,555796
723,610332
724,695441
725,581607
726,713412
727,606795
728,658152
729,571756
730,743258
731,605478
732,588132
733,615801
734,614468
735,609482
736,615916
737,662377
738,677768
739,610323
740,643337
741,612195
