,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
0,492619,tt0116991,1996-07-04,0,0,Drama,English,Mariette in Ecstasy,US,United States of America,English
1,633838,tt0276132,1997-01-01,0,0, , , , , , 
2,574482,tt0374682,1998-01-01,0,0, , , , , , 
3,504562,tt0385887,2019-10-31,26000000,18377736,Drama,English,Motherless Brooklyn,US,United States of America,English
4,540414,tt0810836,2020-02-29,0,0,Crime,English,Dirt Music,AU,Australia,English
5,272480,tt0846775,2006-01-01,0,0, , , , , , 
6,506876,tt0858419,2019-05-03,0,0, ,Português,Bolden, , , 
7,680676,tt8819168,2019-02-04,0,0, ,Italiano,Mistero di un impiegato, , , 
8,625453,tt10002654,2019-08-23,0,0, ,,Pattabhiraman, , , 
9,643188,tt10003782,2019-10-28,0,0,Documentary,Français,Widerstandsmomente,AT,Austria,Français
10,608504,tt10003978,2019-07-18,0,0, ,English,Fiddler: A Miracle of Miracles, , , 
11,654631,tt10004372,,0,0, , , , , , 
12,587693,tt10006006,2019-12-05,0,0,Romance,Türkçe,A Christmas Prince: The Royal Baby,US,United States of America,Türkçe
13,605309,tt10007978,2019-06-09,15000,0, ,English,Terror in the Skies, , , 
14,618008,tt10009434,2019-06-06,0,0,Comedy,English,Family Obligations,US,United States of America,English
15,520754,tt10010368,2019-08-22,0,0,Documentary,English,The Australian Dream,AU,Australia,English
16,640153,tt10010748,2020-04-06,0,0,Documentary,English,Mossville: When Great Trees Fall,US,United States of America,English
17,586776,tt10011102,2019-03-08,1000,1000,Action,हिन्दी,The Sholay Girl,IN,India,हिन्दी
18,597612,tt10011226,2019-04-27,0,0,Documentary,English,17 Blocks,US,United States of America,English
19,597613,tt10011232,2020-01-12,0,0,Documentary,普通话,Leftover Women,IL,Israel,普通话
20,608501,tt10011244,2019-03-09,0,0, , , , , , 
21,586531,,2019-04-27,0,0, ,English,A Woman's Work: The NFL's Cheerleader Problem, , , 
22,597620,tt10011270,2019-04-27,0,0,Documentary,English,The Dominican Dream,US,United States of America,English
23,597623,tt10011284,2020-08-19,0,0,Documentary,English,Lil' Buck: Real Swan,US,United States of America,English
24,592710,tt10011296,2019-04-28,0,0,Documentary,English,Nomad: In the Footsteps of Bruce Chatwin,GB,United Kingdom,English
25,596028,tt10011302,2020-06-14,0,0,Documentary,English,Picture Character,AR,Argentina,English
26,597597,tt10011312,2019-04-26,0,0, , , , , , 
27,597588,tt10011336,2020-11-06,0,0,Drama,English,Lucky Grandma,US,United States of America,English
28,597611,tt10011402,2019-11-28,0,0,Documentary,English,Martha: A Picture Story,AU,Australia,English
29,592997,tt10011412,2019-04-27,0,0,Documentary,English,You Don't Nomi,US,United States of America,English
30,596980,tt10011448,2019-09-06,0,0,Documentary,English,Linda Ronstadt: The Sound of My Voice,US,United States of America,English
31,623344,tt10011480,2019-05-02,0,0,Documentary,English,The Remix: Hip Hop x Fashion,US,United States of America,English
32,598492,tt10011500,2020-03-13,0,0,Documentary,English,Slay the Dragon,US,United States of America,English
33,589367,tt10011508,2019-04-25,0,0,Documentary,English,Trixie Mattel: Moving Parts,US,United States of America,English
34,587670,,2019-03-21,0,0,Drama,Bahasa indonesia,Pohon Terkenal,ID,Indonesia,Bahasa indonesia
35,590191,tt10011682,2019-11-13,0,0,Documentary,English,Assholes: A Theory,CA,Canada,English
36,593063,tt10011772,2019-04-12,0,0,Documentary,English,Ovan Babylon,SE,Sweden,English
37,580637,tt10012964,2019-08-28,0,0, ,English,Iris: A Space Opera by Justice, , , 
38,632840,tt10013072,2020-03-13,0,0,Comedy,English,Out and About 2: Las Vegas Adventure,US,United States of America,English
39,408751,,2016-08-30,0,0, , , , , , 
40,589446,tt10014682,2019-03-22,0,0,Documentary,Français,Tenir tête,CA,Canada,Français
41,718384,tt10014718,,0,20000, , , , , , 
42,654197,tt10015222,2019-04-11,0,0, ,,Yaz Kış Demeden, , , 
43,644446,tt10015234,2019-04-11,0,0,Documentary,,Tanrı Göçmen Çocukları Sever Mi Anne?,TR,Turkey,
44,587866,,2019-12-20,0,0, ,Türkçe,Kader Postası, , , 
45,600336,tt10015418,2019-07-20,0,0,Mystery,日本語,五億円のじんせい,JP,Japan,日本語
46,584134,tt10015812,2019-04-11,0,0,Horror,Bahasa indonesia,Sunyi,ID,Indonesia,Bahasa indonesia
47,593694,tt10016388,2019-04-13,0,0, ,עִבְרִית,Baştan Başa, , , 
48,604251,tt10016436,2019-01-01,0,0, ,Türkçe,Köpek Filmi, , , 
49,589179,tt10016444,2019-06-05,0,0, , , , , , 
50,721488,tt0132109,,0,0, , , , , , 
51,580430,tt10016532,2019-03-15,0,0, ,தமிழ்,இஸ்பேட் ராஜாவும் இதய ராணியும், , , 
52,582019,tt10016590,2019-03-13,0,0, , , , , , 
53,582023,tt10016638,2019-03-13,0,0, , , , , , 
54,643219,tt10017454,,0,0, , , , , , 
55,592108,tt10017956,2019-03-29,0,0, ,हिन्दी,Gone Kesh, , , 
56,594071,tt10018386,2019-04-11,0,0,Documentary,Azərbaycan,Xurmalar Yetişən Vaxt,AT,Austria,Azərbaycan
57,584190,,2019-02-19,0,0, ,English,"Barry Brewer: Chicago, I'm Home", , , 
58,651270,tt10021754,2019-11-24,0,0,Drama,Español,Incursão,BR,Brazil,Español
59,588471,tt10023080,2019-03-15,0,0, ,தமிழ்,நெடுநல்வாடை,IN,India,தமிழ்
60,690350,tt10023506,2019-03-15,0,0,Drama,සිංහල,Katha Karana Heena,LK,Sri Lanka,සිංහල
61,685597,tt10024044,2019-04-13,0,0,Documentary,Deutsch,Hiwwe wie Driwwe - Pfälzisch in Amerika,DE,Germany,Deutsch
62,588302,tt10024716,2019-03-15,0,0,Drama,தமிழ்,அகவன்,IN,India,தமிழ்
63,616618,tt10026108,2019-08-08,0,0,Documentary,Deutsch,Felix in Wonderland,FR,France,Deutsch
64,589591,tt10026172,2019-04-26,0,0, , , , , , 
65,573896,tt10027696,2019-03-14,0,0, , , , , , 
66,602649,tt10027848,2019-04-01,0,0, , , , , , 
67,617450,tt10034272,2019-03-08,0,0,Drama,বাংলা,মুখার্জি দার বউ,IN,India,বাংলা
68,585072,tt10036378,2019-03-18,0,0,Documentary,Italiano,Canova,IT,Italy,Italiano
69,685272,tt10036868,2019-03-31,0,0,Documentary,English,Jay's Longhorn,US,United States of America,English
70,567381,tt10037428,2019-03-01,0,0, ,Español,Los atardeceres rojos,MX,Mexico,Español
71,631758,,2019-04-14,0,0, ,English,When I Last Saw Jesse, , , 
72,14815,tt0073906,1975-05-22,0,0,Action,Deutsch,The Wind and the Lion,US,United States of America,Deutsch
73,571573,tt10037700,2019-03-16,0,0,Animation,日本語,プリキュアミラクルユニバース,JP,Japan,日本語
74,733505,,2019-04-01,0,0,Adventure,Slovenčina,Mohyla,SK,Slovakia,Slovenčina
75,606171,tt10039064,2019-03-15,0,0, ,,മുട്ടായിക്കള്ളനും മമ്മാലിയും,IN,India,
76,678792,tt10039152,2019-03-31,0,0, , , , , , 
77,591400,tt10039546,2019-03-28,0,0,Drama,Bahasa indonesia,Suporter Masuk Pesantren,ID,Indonesia,Bahasa indonesia
78,676730,tt10040610,2019-03-22,0,0, , , , , , 
79,602441,tt10041438,2019-06-28,0,0, ,Español,Me llamo Violeta, , , 
80,589288,tt10043646,,0,0,Comedy,English,Odd Love,US,United States of America,English
81,618220,tt10043746,2019-06-17,0,0,Drama,Bahasa indonesia,Humba Dreams,ID,Indonesia,Bahasa indonesia
82,664199,tt10044000,2018-10-28,55000,0, ,English,Snow to Sand, , , 
83,602473,tt10044704,2019-05-15,0,0,Drama,English,Between Maybes,JP,Japan,English
