,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
18,tt0308078,Les bâtisseurs,2016,N/A,5.7,10,Les bâtisseurs
19,tt0315642,Wazir,2016,N/A,7.1,"17,057",Wazir
27,tt0364201,Aman Ke Farishtey,2016,N/A,6.1,10,Aman Ke Farishtey
31,tt0376479,American Pastoral,2016,43,6.1,"14,879",American Pastoral
38,tt0443533,The History of Love,2016,N/A,6.3,"1,164",The History of Love
44,tt0470936,"Hot Country, Cold Winter",2016,N/A,3.0,38,"Tak erkir, tsurt dzmer"
45,tt0475290,"Hail, Caesar!",2016,72,6.3,"122,280","Hail, Caesar!"
47,tt0490215,Silence,2016,79,7.2,"98,040",Silence
50,tt0493076,Nina,2016,27,5.4,"2,547",Nina
53,tt0765453,Have You Seen Me?,2016,N/A,N/A,N/A,Have You Seen Me?
54,tt0775440,Cell,2016,38,4.3,"24,782",Cell
59,tt0803096,Warcraft,2016,32,6.8,"238,782",Warcraft
62,tt0821486,Manhattan Minutiae,2016,N/A,5.3,18,Manhattan Minutiae
63,tt0825283,Maximum Ride,2016,N/A,3.6,"4,141",Maximum Ride
66,tt0837156,Pee-wee's Big Holiday,2016,63,6.1,"7,048",Pee-wee's Big Holiday
68,tt0838194,Retreat!,2016,N/A,6.5,15,Retreat!
69,tt0844699,Ivan Mosjoukine ou L'enfant du carnaval,2016,N/A,7.7,6,Ivan Mosjoukine ou L'enfant du carnaval
71,tt0848554,The Sighting,2016,N/A,3.7,805,The Sighting
78,tt0877604,Chûshingura,2016,N/A,N/A,N/A,Chûshingura
81,tt0906327,The Unlikely's,2016,N/A,N/A,N/A,The Unlikely's
82,tt0918520,Gangster Kittens,2016,N/A,N/A,N/A,Gangster Kittens
83,tt0918940,The Legend of Tarzan,2016,44,6.2,"161,094",The Legend of Tarzan
84,tt0932667,The Man in the Silo,2016,N/A,6.0,109,The Man in the Silo
89,tt0995868,Pele: Birth of a Legend,2016,39,7.2,"15,995",Pele: Birth of a Legend
107,tt10005130,Alalá,2016,N/A,N/A,N/A,Alalá
113,tt10006056,La notte è piccola per noi,2016,N/A,N/A,N/A,La notte è piccola per noi
143,tt10011146,Blood of Hatred,2016,N/A,N/A,N/A,Le sang de la haine
171,tt10011852,Saalaiyoram,2016,N/A,N/A,N/A,Saalaiyoram
216,tt10019878,Jeremiah,2016,N/A,N/A,N/A,Jeremiah
232,tt10022870,SIUAT Sumanth 3,2016,N/A,9.5,6,SIUAT Sumanth 3
236,tt10023154,Africa with a broken neck,2016,N/A,N/A,N/A,Africa with a broken neck
237,tt10023318,Waiting for the Boatman,2016,N/A,N/A,N/A,Waiting for the Boatman
238,tt10023330,Deep Swimmer,2016,N/A,N/A,N/A,Deep Swimmer
249,tt1002563,The Young Messiah,2016,33,5.6,"3,107",The Young Messiah
299,tt10037562,The 45,2016,N/A,N/A,N/A,The 45
429,tt10058744,Urgence de femme,2016,N/A,N/A,N/A,Urgence de femme
435,tt10059478,Frozen Faith: Cryonics and the Quest to Cheat Death,2016,N/A,N/A,N/A,Frozen Faith: Cryonics and the Quest to Cheat Death
443,tt10062102,Jattan Diyan Dildariyan,2016,N/A,N/A,N/A,Jattan Diyan Dildariyan
458,tt10063814,Cartas da Bessarábia,2016,N/A,N/A,N/A,Cartas da Bessarábia
474,tt10066376,Goa Girls,2016,N/A,N/A,N/A,Goa Girls
481,tt10066788,"Blizhe, chem kazhetsya",2016, , , , 
491,tt10069972,The Unbendable,2016, , , , 
512,tt10074200,Stas.is,2016,N/A,N/A,N/A,Stas.is
520,tt10074652,Életreítéltek,2016,N/A,N/A,N/A,Életreítéltek
531,tt10075604,"Taxi, What's Your Name?",2016,N/A,4.0,6,"Taxi, What's Your Name?"
545,tt10077134,Csak még egyszer elöre,2016,N/A,N/A,N/A,Csak még egyszer elöre
564,tt10078764,Until You,2016,N/A,N/A,N/A,Cho Em Dên Ngày Mai
589,tt10081124,My Homeland's Flag Is Blue...,2016,N/A,N/A,N/A,My Homeland's Flag Is Blue...
618,tt10084200,The Legend of Snow Figure,2016,N/A,N/A,N/A,The Legend of Snow Figure
638,tt10085844,Tausiyah Cinta,2016,N/A,N/A,N/A,Tausiyah Cinta
663,tt10089524,Periphery of Nothing,2016,N/A,N/A,N/A,Periphery of Nothing
667,tt10090096,Stregati Dalla Bruna,2016,N/A,N/A,N/A,Stregati Dalla Bruna
698,tt10096092,A Arte Existe Porque a Vida Não Basta,2016,N/A,N/A,N/A,A Arte Existe Porque a Vida Não Basta
699,tt10096218,Days Of Truce,2016,N/A,N/A,N/A,Days Of Truce
